entry,at,order
"The player ""benji @ _-F7xMtKGi"" stand up with the stack of 1004.65.",2023-03-31T08:07:44.414Z,168025006441400
"-- ending hand #285 --",2023-03-31T08:07:41.489Z,168025006148902
"""Anderw @ -kN9JZEj5n"" collected 2.00 from pot",2023-03-31T08:07:41.489Z,168025006148901
"Uncalled bet of 1.00 returned to ""Anderw @ -kN9JZEj5n""",2023-03-31T08:07:41.489Z,168025006148900
"""benji @ _-F7xMtKGi"" folds",2023-03-31T08:07:40.635Z,168025006063500
"""Anderw @ -kN9JZEj5n"" posts a big blind of 2.00",2023-03-31T08:07:33.131Z,168025005313105
"""benji @ _-F7xMtKGi"" posts a small blind of 1.00",2023-03-31T08:07:33.131Z,168025005313104
"Player stacks: #5 ""benji @ _-F7xMtKGi"" (1005.65) | #9 ""Anderw @ -kN9JZEj5n"" (598.30)",2023-03-31T08:07:33.131Z,168025005313101
"-- starting hand #285 (id: epox47emq945)  (No Limit Texas Hold'em) (dealer: ""benji @ _-F7xMtKGi"") --",2023-03-31T08:07:33.131Z,168025005313100
"-- ending hand #284 --",2023-03-31T08:07:30.202Z,168025005020202
"""benji @ _-F7xMtKGi"" collected 2.00 from pot",2023-03-31T08:07:30.202Z,168025005020201
"Uncalled bet of 1.00 returned to ""benji @ _-F7xMtKGi""",2023-03-31T08:07:30.202Z,168025005020200
"""Anderw @ -kN9JZEj5n"" folds",2023-03-31T08:07:29.387Z,168025004938700
"""benji @ _-F7xMtKGi"" posts a big blind of 2.00",2023-03-31T08:07:25.459Z,168025004545905
"""Anderw @ -kN9JZEj5n"" posts a small blind of 1.00",2023-03-31T08:07:25.459Z,168025004545904
"Player stacks: #5 ""benji @ _-F7xMtKGi"" (1004.65) | #9 ""Anderw @ -kN9JZEj5n"" (599.30)",2023-03-31T08:07:25.459Z,168025004545901
"-- starting hand #284 (id: b6ual1mdbdqd)  (No Limit Texas Hold'em) (dealer: ""Anderw @ -kN9JZEj5n"") --",2023-03-31T08:07:25.459Z,168025004545900
"-- ending hand #283 --",2023-03-31T08:07:19.454Z,168025003945402
"""benji @ _-F7xMtKGi"" collected 4.00 from pot with Two Pair, J's & 5's (combination: J♠, J♣, 5♠, 5♥, A♦)",2023-03-31T08:07:19.454Z,168025003945401
"""benji @ _-F7xMtKGi"" shows a 5♠, Q♥.",2023-03-31T08:07:19.454Z,168025003945400
"""benji @ _-F7xMtKGi"" checks",2023-03-31T08:07:18.621Z,168025003862100
"""Anderw @ -kN9JZEj5n"" checks",2023-03-31T08:07:16.723Z,168025003672300
"River: 10♠, A♦, J♠, J♣ [5♥]",2023-03-31T08:07:15.714Z,168025003571400
"""benji @ _-F7xMtKGi"" checks",2023-03-31T08:07:14.875Z,168025003487500
"""Anderw @ -kN9JZEj5n"" checks",2023-03-31T08:07:14.004Z,168025003400400
"Turn: 10♠, A♦, J♠ [J♣]",2023-03-31T08:07:12.594Z,168025003259400
"""benji @ _-F7xMtKGi"" checks",2023-03-31T08:07:11.735Z,168025003173500
"""Anderw @ -kN9JZEj5n"" checks",2023-03-31T08:07:10.369Z,168025003036900
"Flop:  [10♠, A♦, J♠]",2023-03-31T08:07:08.991Z,168025002899100
"""Anderw @ -kN9JZEj5n"" checks",2023-03-31T08:07:08.127Z,168025002812700
"""benji @ _-F7xMtKGi"" calls 2.00",2023-03-31T08:07:07.281Z,168025002728100
"""Anderw @ -kN9JZEj5n"" posts a big blind of 2.00",2023-03-31T08:07:01.704Z,168025002170406
"""benji @ _-F7xMtKGi"" posts a small blind of 1.00",2023-03-31T08:07:01.704Z,168025002170405
"Player stacks: #5 ""benji @ _-F7xMtKGi"" (1002.65) | #9 ""Anderw @ -kN9JZEj5n"" (601.30)",2023-03-31T08:07:01.704Z,168025002170402
"-- starting hand #283 (id: embldquwxwat)  (No Limit Texas Hold'em) (dealer: ""benji @ _-F7xMtKGi"") --",2023-03-31T08:07:01.704Z,168025002170401
"The player ""Seneca @ 3K1udw0KZ8"" stand up with the stack of 1094.37.",2023-03-31T08:07:01.704Z,168025002170400
"-- ending hand #282 --",2023-03-31T08:06:58.793Z,168025001879302
"""Seneca @ 3K1udw0KZ8"" collected 2.00 from pot",2023-03-31T08:06:58.793Z,168025001879301
"Uncalled bet of 1.00 returned to ""Seneca @ 3K1udw0KZ8""",2023-03-31T08:06:58.793Z,168025001879300
"""benji @ _-F7xMtKGi"" folds",2023-03-31T08:06:57.909Z,168025001790900
"""Anderw @ -kN9JZEj5n"" folds",2023-03-31T08:06:53.244Z,168025001324400
"""Seneca @ 3K1udw0KZ8"" posts a big blind of 2.00",2023-03-31T08:06:52.099Z,168025001209906
"""benji @ _-F7xMtKGi"" posts a small blind of 1.00",2023-03-31T08:06:52.099Z,168025001209905
"Player stacks: #5 ""benji @ _-F7xMtKGi"" (1003.65) | #8 ""Seneca @ 3K1udw0KZ8"" (1093.37) | #9 ""Anderw @ -kN9JZEj5n"" (601.30)",2023-03-31T08:06:52.099Z,168025001209901
"-- starting hand #282 (id: bmsywx51nubo)  (No Limit Texas Hold'em) (dealer: ""Anderw @ -kN9JZEj5n"") --",2023-03-31T08:06:52.099Z,168025001209900
"-- ending hand #281 --",2023-03-31T08:06:49.177Z,168025000917702
"""benji @ _-F7xMtKGi"" collected 27.00 from pot",2023-03-31T08:06:49.177Z,168025000917701
"Uncalled bet of 27.00 returned to ""benji @ _-F7xMtKGi""",2023-03-31T08:06:49.177Z,168025000917700
"""Anderw @ -kN9JZEj5n"" folds",2023-03-31T08:06:48.342Z,168025000834200
"""benji @ _-F7xMtKGi"" bets 27.00",2023-03-31T08:06:46.836Z,168025000683600
"""Anderw @ -kN9JZEj5n"" checks",2023-03-31T08:06:44.012Z,168025000401200
"River: 7♦, 5♣, K♠, 9♠ [8♠]",2023-03-31T08:06:42.607Z,168025000260700
"""Seneca @ 3K1udw0KZ8"" folds",2023-03-31T08:06:41.803Z,168025000180300
"""benji @ _-F7xMtKGi"" calls 6.75",2023-03-31T08:06:40.959Z,168025000095900
"""Anderw @ -kN9JZEj5n"" bets 6.75",2023-03-31T08:06:36.343Z,168024999634300
"Turn: 7♦, 5♣, K♠ [9♠]",2023-03-31T08:06:33.963Z,168024999396300
"""Seneca @ 3K1udw0KZ8"" checks",2023-03-31T08:06:33.110Z,168024999311000
"""benji @ _-F7xMtKGi"" checks",2023-03-31T08:06:09.295Z,168024996929500
"""Anderw @ -kN9JZEj5n"" checks",2023-03-31T08:06:07.253Z,168024996725300
"Flop:  [7♦, 5♣, K♠]",2023-03-31T08:06:05.261Z,168024996526100
"""benji @ _-F7xMtKGi"" calls 4.50",2023-03-31T08:06:04.385Z,168024996438500
"""Anderw @ -kN9JZEj5n"" calls 4.50",2023-03-31T08:05:53.282Z,168024995328200
"""Seneca @ 3K1udw0KZ8"" raises to 4.50",2023-03-31T08:05:51.609Z,168024995160900
"""benji @ _-F7xMtKGi"" posts a big blind of 2.00",2023-03-31T08:05:40.431Z,168024994043106
"""Anderw @ -kN9JZEj5n"" posts a small blind of 1.00",2023-03-31T08:05:40.431Z,168024994043105
"Player stacks: #5 ""benji @ _-F7xMtKGi"" (987.90) | #8 ""Seneca @ 3K1udw0KZ8"" (1097.87) | #9 ""Anderw @ -kN9JZEj5n"" (612.55)",2023-03-31T08:05:40.431Z,168024994043101
"-- starting hand #281 (id: 5t31rw7rjkfv)  (No Limit Texas Hold'em) (dealer: ""Seneca @ 3K1udw0KZ8"") --",2023-03-31T08:05:40.431Z,168024994043100
"""benji @ _-F7xMtKGi"" shows a Q♦, 8♣.",2023-03-31T08:05:37.972Z,168024993797200
"-- ending hand #280 --",2023-03-31T08:05:36.729Z,168024993672902
"""Anderw @ -kN9JZEj5n"" collected 65.00 from pot",2023-03-31T08:05:36.729Z,168024993672901
"Uncalled bet of 48.75 returned to ""Anderw @ -kN9JZEj5n""",2023-03-31T08:05:36.729Z,168024993672900
"""benji @ _-F7xMtKGi"" folds",2023-03-31T08:05:35.898Z,168024993589800
"""Anderw @ -kN9JZEj5n"" bets 48.75",2023-03-31T08:05:07.747Z,168024990774700
"Turn: K♠, A♥, J♠ [7♣]",2023-03-31T08:05:05.611Z,168024990561100
"""benji @ _-F7xMtKGi"" calls 19.50",2023-03-31T08:05:04.800Z,168024990480000
"""Anderw @ -kN9JZEj5n"" bets 19.50",2023-03-31T08:05:03.875Z,168024990387500
"Flop:  [K♠, A♥, J♠]",2023-03-31T08:05:01.093Z,168024990109300
"""Seneca @ 3K1udw0KZ8"" folds",2023-03-31T08:05:00.227Z,168024990022700
"""benji @ _-F7xMtKGi"" calls 12.00",2023-03-31T08:04:55.919Z,168024989591900
"""Anderw @ -kN9JZEj5n"" raises to 12.00",2023-03-31T08:04:52.787Z,168024989278700
"""Seneca @ 3K1udw0KZ8"" calls 2.00",2023-03-31T08:04:48.404Z,168024988840400
"""benji @ _-F7xMtKGi"" calls 2.00",2023-03-31T08:04:45.373Z,168024988537300
"""Anderw @ -kN9JZEj5n"" posts a big blind of 2.00",2023-03-31T08:04:43.560Z,168024988356006
"""Seneca @ 3K1udw0KZ8"" posts a small blind of 1.00",2023-03-31T08:04:43.560Z,168024988356005
"Player stacks: #5 ""benji @ _-F7xMtKGi"" (1019.40) | #8 ""Seneca @ 3K1udw0KZ8"" (1099.87) | #9 ""Anderw @ -kN9JZEj5n"" (579.05)",2023-03-31T08:04:43.560Z,168024988356001
"-- starting hand #280 (id: zh4euzj8hebb)  (No Limit Texas Hold'em) (dealer: ""benji @ _-F7xMtKGi"") --",2023-03-31T08:04:43.560Z,168024988356000
"-- ending hand #279 --",2023-03-31T08:04:40.585Z,168024988058502
"""benji @ _-F7xMtKGi"" collected 60.00 from pot",2023-03-31T08:04:40.585Z,168024988058501
"Uncalled bet of 30.00 returned to ""benji @ _-F7xMtKGi""",2023-03-31T08:04:40.585Z,168024988058500
"""Seneca @ 3K1udw0KZ8"" folds",2023-03-31T08:04:39.775Z,168024987977500
"""benji @ _-F7xMtKGi"" bets 30.00",2023-03-31T08:04:37.929Z,168024987792900
"River: Q♠, 8♦, 5♣, 6♦ [3♦]",2023-03-31T08:04:33.259Z,168024987325900
"""benji @ _-F7xMtKGi"" calls 18.00",2023-03-31T08:04:32.379Z,168024987237900
"""Seneca @ 3K1udw0KZ8"" bets 18.00",2023-03-31T08:04:27.869Z,168024986786900
"""benji @ _-F7xMtKGi"" checks",2023-03-31T08:04:17.394Z,168024985739400
"Turn: Q♠, 8♦, 5♣ [6♦]",2023-03-31T08:04:12.556Z,168024985255600
"""Seneca @ 3K1udw0KZ8"" calls 6.00",2023-03-31T08:04:11.728Z,168024985172800
"""benji @ _-F7xMtKGi"" bets 6.00",2023-03-31T08:03:58.321Z,168024983832100
"Flop:  [Q♠, 8♦, 5♣]",2023-03-31T08:03:53.740Z,168024983374000
"""Seneca @ 3K1udw0KZ8"" calls 6.00",2023-03-31T08:03:52.930Z,168024983293000
"""benji @ _-F7xMtKGi"" raises to 6.00",2023-03-31T08:03:51.385Z,168024983138500
"""Anderw @ -kN9JZEj5n"" folds",2023-03-31T08:03:48.738Z,168024982873800
"""Seneca @ 3K1udw0KZ8"" posts a big blind of 2.00",2023-03-31T08:03:47.767Z,168024982776706
"""benji @ _-F7xMtKGi"" posts a small blind of 1.00",2023-03-31T08:03:47.767Z,168024982776705
"Player stacks: #5 ""benji @ _-F7xMtKGi"" (989.40) | #8 ""Seneca @ 3K1udw0KZ8"" (1129.87) | #9 ""Anderw @ -kN9JZEj5n"" (579.05)",2023-03-31T08:03:47.767Z,168024982776701
"-- starting hand #279 (id: 4thdi574b5p1)  (No Limit Texas Hold'em) (dealer: ""Anderw @ -kN9JZEj5n"") --",2023-03-31T08:03:47.767Z,168024982776700
"-- ending hand #278 --",2023-03-31T08:03:41.762Z,168024982176203
"""Anderw @ -kN9JZEj5n"" shows a 4♦, 6♠.",2023-03-31T08:03:41.762Z,168024982176202
"""Seneca @ 3K1udw0KZ8"" collected 36.00 from pot with Pair, A's (combination: A♠, A♣, K♠, 9♦, 8♠)",2023-03-31T08:03:41.762Z,168024982176201
"""Seneca @ 3K1udw0KZ8"" shows a A♠, K♠.",2023-03-31T08:03:41.762Z,168024982176200
"""Seneca @ 3K1udw0KZ8"" checks",2023-03-31T08:03:40.935Z,168024982093500
"""Anderw @ -kN9JZEj5n"" checks",2023-03-31T08:03:36.310Z,168024981631000
"River: 8♠, 9♦, 4♣, A♣ [7♦]",2023-03-31T08:03:35.700Z,168024981570000
"""Anderw @ -kN9JZEj5n"" calls 12.50",2023-03-31T08:03:34.897Z,168024981489700
"""Seneca @ 3K1udw0KZ8"" raises to 12.50",2023-03-31T08:03:33.395Z,168024981339500
"""Anderw @ -kN9JZEj5n"" bets 3.50",2023-03-31T08:03:21.689Z,168024980168900
"Turn: 8♠, 9♦, 4♣ [A♣]",2023-03-31T08:03:19.383Z,168024979938300
"""Seneca @ 3K1udw0KZ8"" checks",2023-03-31T08:03:18.536Z,168024979853600
"""Anderw @ -kN9JZEj5n"" checks",2023-03-31T08:03:11.132Z,168024979113200
"Flop:  [8♠, 9♦, 4♣]",2023-03-31T08:03:09.506Z,168024978950600
"""benji @ _-F7xMtKGi"" folds",2023-03-31T08:03:08.677Z,168024978867700
"""Anderw @ -kN9JZEj5n"" calls 4.50",2023-03-31T08:02:52.772Z,168024977277200
"""Seneca @ 3K1udw0KZ8"" raises to 4.50",2023-03-31T08:02:51.773Z,168024977177300
"""benji @ _-F7xMtKGi"" posts a big blind of 2.00",2023-03-31T08:02:47.749Z,168024976774906
"""Anderw @ -kN9JZEj5n"" posts a small blind of 1.00",2023-03-31T08:02:47.749Z,168024976774905
"Player stacks: #5 ""benji @ _-F7xMtKGi"" (991.40) | #8 ""Seneca @ 3K1udw0KZ8"" (1110.87) | #9 ""Anderw @ -kN9JZEj5n"" (596.05)",2023-03-31T08:02:47.749Z,168024976774901
"-- starting hand #278 (id: trmgzps2sky3)  (No Limit Texas Hold'em) (dealer: ""Seneca @ 3K1udw0KZ8"") --",2023-03-31T08:02:47.749Z,168024976774900
"""benji @ _-F7xMtKGi"" shows a 5♦, 6♠.",2023-03-31T08:02:45.330Z,168024976533000
"-- ending hand #277 --",2023-03-31T08:02:44.143Z,168024976414302
"""Anderw @ -kN9JZEj5n"" collected 34.00 from pot",2023-03-31T08:02:44.143Z,168024976414301
"Uncalled bet of 25.50 returned to ""Anderw @ -kN9JZEj5n""",2023-03-31T08:02:44.143Z,168024976414300
"""benji @ _-F7xMtKGi"" folds",2023-03-31T08:02:43.287Z,168024976328700
"""Anderw @ -kN9JZEj5n"" bets 25.50",2023-03-31T08:02:42.021Z,168024976202100
"Turn: J♥, Q♣, 4♥ [2♠]",2023-03-31T08:02:40.051Z,168024976005100
"""benji @ _-F7xMtKGi"" calls 6.50",2023-03-31T08:02:39.163Z,168024975916300
"""Anderw @ -kN9JZEj5n"" bets 6.50",2023-03-31T08:02:37.818Z,168024975781800
"Flop:  [J♥, Q♣, 4♥]",2023-03-31T08:02:33.330Z,168024975333000
"""benji @ _-F7xMtKGi"" calls 10.00",2023-03-31T08:02:32.463Z,168024975246300
"""Anderw @ -kN9JZEj5n"" raises to 10.00",2023-03-31T08:02:29.861Z,168024974986100
"""Seneca @ 3K1udw0KZ8"" folds",2023-03-31T08:02:27.713Z,168024974771300
"""benji @ _-F7xMtKGi"" calls 2.00",2023-03-31T08:02:25.126Z,168024974512600
"""Anderw @ -kN9JZEj5n"" posts a big blind of 2.00",2023-03-31T08:02:23.239Z,168024974323906
"""Seneca @ 3K1udw0KZ8"" posts a small blind of 1.00",2023-03-31T08:02:23.239Z,168024974323905
"Player stacks: #5 ""benji @ _-F7xMtKGi"" (1007.90) | #8 ""Seneca @ 3K1udw0KZ8"" (1111.87) | #9 ""Anderw @ -kN9JZEj5n"" (578.55)",2023-03-31T08:02:23.239Z,168024974323901
"-- starting hand #277 (id: haniu2u5gib1)  (No Limit Texas Hold'em) (dealer: ""benji @ _-F7xMtKGi"") --",2023-03-31T08:02:23.239Z,168024974323900
"-- ending hand #276 --",2023-03-31T08:02:20.230Z,168024974023002
"""benji @ _-F7xMtKGi"" collected 12.00 from pot",2023-03-31T08:02:20.230Z,168024974023001
"Uncalled bet of 12.00 returned to ""benji @ _-F7xMtKGi""",2023-03-31T08:02:20.230Z,168024974023000
"""Seneca @ 3K1udw0KZ8"" folds",2023-03-31T08:02:19.375Z,168024973937500
"""benji @ _-F7xMtKGi"" bets 12.00",2023-03-31T08:02:13.105Z,168024973310500
"Flop:  [5♠, A♣, 8♣]",2023-03-31T08:02:06.413Z,168024972641300
"""Seneca @ 3K1udw0KZ8"" calls 6.00",2023-03-31T08:02:05.513Z,168024972551300
"""benji @ _-F7xMtKGi"" raises to 6.00",2023-03-31T08:01:50.125Z,168024971012500
"""Anderw @ -kN9JZEj5n"" folds",2023-03-31T08:01:47.227Z,168024970722700
"""Seneca @ 3K1udw0KZ8"" posts a big blind of 2.00",2023-03-31T08:01:46.185Z,168024970618506
"""benji @ _-F7xMtKGi"" posts a small blind of 1.00",2023-03-31T08:01:46.185Z,168024970618505
"Player stacks: #5 ""benji @ _-F7xMtKGi"" (1001.90) | #8 ""Seneca @ 3K1udw0KZ8"" (1117.87) | #9 ""Anderw @ -kN9JZEj5n"" (578.55)",2023-03-31T08:01:46.185Z,168024970618501
"-- starting hand #276 (id: xofvwbwgwm7s)  (No Limit Texas Hold'em) (dealer: ""Anderw @ -kN9JZEj5n"") --",2023-03-31T08:01:46.185Z,168024970618500
"""benji @ _-F7xMtKGi"" shows a 2♥, 7♣.",2023-03-31T08:01:44.663Z,168024970466300
"-- ending hand #275 --",2023-03-31T08:01:42.576Z,168024970257602
"""benji @ _-F7xMtKGi"" collected 2.00 from pot",2023-03-31T08:01:42.576Z,168024970257601
"Uncalled bet of 1.00 returned to ""benji @ _-F7xMtKGi""",2023-03-31T08:01:42.576Z,168024970257600
"""Anderw @ -kN9JZEj5n"" folds",2023-03-31T08:01:41.718Z,168024970171800
"""Seneca @ 3K1udw0KZ8"" folds",2023-03-31T08:01:40.840Z,168024970084000
"""benji @ _-F7xMtKGi"" posts a big blind of 2.00",2023-03-31T08:01:38.797Z,168024969879706
"""Anderw @ -kN9JZEj5n"" posts a small blind of 1.00",2023-03-31T08:01:38.797Z,168024969879705
"Player stacks: #5 ""benji @ _-F7xMtKGi"" (1000.90) | #8 ""Seneca @ 3K1udw0KZ8"" (1117.87) | #9 ""Anderw @ -kN9JZEj5n"" (579.55)",2023-03-31T08:01:38.797Z,168024969879701
"-- starting hand #275 (id: zcuhnkpxpf8r)  (No Limit Texas Hold'em) (dealer: ""Seneca @ 3K1udw0KZ8"") --",2023-03-31T08:01:38.797Z,168024969879700
"-- ending hand #274 --",2023-03-31T08:01:35.892Z,168024969589202
"""Anderw @ -kN9JZEj5n"" collected 15.00 from pot",2023-03-31T08:01:35.892Z,168024969589201
"Uncalled bet of 15.00 returned to ""Anderw @ -kN9JZEj5n""",2023-03-31T08:01:35.892Z,168024969589200
"""benji @ _-F7xMtKGi"" folds",2023-03-31T08:01:35.063Z,168024969506300
"""Anderw @ -kN9JZEj5n"" bets 15.00",2023-03-31T08:01:33.586Z,168024969358600
"River: A♠, 2♦, 5♥, 2♥ [9♠]",2023-03-31T08:01:31.970Z,168024969197000
"""benji @ _-F7xMtKGi"" checks",2023-03-31T08:01:31.117Z,168024969111700
"""Anderw @ -kN9JZEj5n"" checks",2023-03-31T08:01:30.217Z,168024969021700
"Turn: A♠, 2♦, 5♥ [2♥]",2023-03-31T08:01:28.488Z,168024968848800
"""benji @ _-F7xMtKGi"" checks",2023-03-31T08:01:27.605Z,168024968760500
"""Anderw @ -kN9JZEj5n"" checks",2023-03-31T08:01:26.550Z,168024968655000
"Flop:  [A♠, 2♦, 5♥]",2023-03-31T08:01:25.363Z,168024968536300
"""Anderw @ -kN9JZEj5n"" calls 7.00",2023-03-31T08:01:24.510Z,168024968451000
"""Seneca @ 3K1udw0KZ8"" folds",2023-03-31T08:01:23.655Z,168024968365500
"""benji @ _-F7xMtKGi"" raises to 7.00",2023-03-31T08:01:21.694Z,168024968169400
"""Anderw @ -kN9JZEj5n"" posts a big blind of 2.00",2023-03-31T08:01:19.353Z,168024967935306
"""Seneca @ 3K1udw0KZ8"" posts a small blind of 1.00",2023-03-31T08:01:19.353Z,168024967935305
"Player stacks: #5 ""benji @ _-F7xMtKGi"" (1007.90) | #8 ""Seneca @ 3K1udw0KZ8"" (1118.87) | #9 ""Anderw @ -kN9JZEj5n"" (571.55)",2023-03-31T08:01:19.353Z,168024967935301
"-- starting hand #274 (id: cdvy6qpxtj6p)  (No Limit Texas Hold'em) (dealer: ""benji @ _-F7xMtKGi"") --",2023-03-31T08:01:19.353Z,168024967935300
"-- ending hand #273 --",2023-03-31T08:01:13.279Z,168024967327901
"""benji @ _-F7xMtKGi"" collected 1007.90 from pot with Two Pair, 9's & 7's (combination: 9♣, 9♠, 7♥, 7♦, A♣)",2023-03-31T08:01:13.279Z,168024967327900
"River: 9♠, 6♣, 3♠, 7♦ [A♣]",2023-03-31T08:01:09.270Z,168024966927000
"Some players choose to not run it twice.",2023-03-31T08:01:04.448Z,168024966444800
"""benji @ _-F7xMtKGi"" shows a 9♣, 7♥.",2023-03-31T08:01:04.261Z,168024966426100
"""Anderw @ -kN9JZEj5n"" shows a K♣, K♦.",2023-03-31T08:00:57.681Z,168024965768100
"""Anderw @ -kN9JZEj5n"" chooses to  run it twice.",2023-03-31T08:00:56.909Z,168024965690900
"Remaining players decide whether to run it twice.",2023-03-31T08:00:56.881Z,168024965688101
"""benji @ _-F7xMtKGi"" calls 397.95 and go all in",2023-03-31T08:00:56.881Z,168024965688100
"""Anderw @ -kN9JZEj5n"" raises to 397.95",2023-03-31T08:00:54.796Z,168024965479600
"""benji @ _-F7xMtKGi"" bets 212.00",2023-03-31T08:00:40.440Z,168024964044000
"Turn: 9♠, 6♣, 3♠ [7♦]",2023-03-31T08:00:37.667Z,168024963766700
"""benji @ _-F7xMtKGi"" calls 45.00",2023-03-31T08:00:36.805Z,168024963680500
"""Anderw @ -kN9JZEj5n"" bets 45.00",2023-03-31T08:00:35.250Z,168024963525000
"""benji @ _-F7xMtKGi"" checks",2023-03-31T08:00:30.591Z,168024963059100
"Flop:  [9♠, 6♣, 3♠]",2023-03-31T08:00:24.655Z,168024962465500
"""benji @ _-F7xMtKGi"" calls 60.00",2023-03-31T08:00:23.807Z,168024962380700
"""Anderw @ -kN9JZEj5n"" raises to 60.00",2023-03-31T08:00:20.769Z,168024962076900
"""Seneca @ 3K1udw0KZ8"" folds",2023-03-31T08:00:10.872Z,168024961087200
"""benji @ _-F7xMtKGi"" raises to 20.00",2023-03-31T08:00:04.688Z,168024960468800
"""Anderw @ -kN9JZEj5n"" raises to 6.00",2023-03-31T08:00:01.646Z,168024960164600
"""Seneca @ 3K1udw0KZ8"" posts a big blind of 2.00",2023-03-31T07:59:58.323Z,168024959832306
"""benji @ _-F7xMtKGi"" posts a small blind of 1.00",2023-03-31T07:59:58.323Z,168024959832305
"Player stacks: #5 ""benji @ _-F7xMtKGi"" (502.95) | #8 ""Seneca @ 3K1udw0KZ8"" (1120.87) | #9 ""Anderw @ -kN9JZEj5n"" (1074.50)",2023-03-31T07:59:58.323Z,168024959832301
"-- starting hand #273 (id: gndqxxfb4t9i)  (No Limit Texas Hold'em) (dealer: ""Anderw @ -kN9JZEj5n"") --",2023-03-31T07:59:58.323Z,168024959832300
"-- ending hand #272 --",2023-03-31T07:59:55.413Z,168024959541302
"""Seneca @ 3K1udw0KZ8"" collected 25.00 from pot",2023-03-31T07:59:55.413Z,168024959541301
"Uncalled bet of 18.75 returned to ""Seneca @ 3K1udw0KZ8""",2023-03-31T07:59:55.413Z,168024959541300
"""benji @ _-F7xMtKGi"" folds",2023-03-31T07:59:54.553Z,168024959455300
"""Seneca @ 3K1udw0KZ8"" bets 18.75",2023-03-31T07:59:53.404Z,168024959340400
"""benji @ _-F7xMtKGi"" checks",2023-03-31T07:59:45.958Z,168024958595800
"River: 10♦, K♥, 5♦, 8♣ [A♣]",2023-03-31T07:59:43.909Z,168024958390900
"""benji @ _-F7xMtKGi"" calls 7.50",2023-03-31T07:59:43.080Z,168024958308000
"""Seneca @ 3K1udw0KZ8"" bets 7.50",2023-03-31T07:59:41.949Z,168024958194900
"""benji @ _-F7xMtKGi"" checks",2023-03-31T07:59:36.646Z,168024957664600
"Turn: 10♦, K♥, 5♦ [8♣]",2023-03-31T07:59:34.797Z,168024957479700
"""Seneca @ 3K1udw0KZ8"" checks",2023-03-31T07:59:33.899Z,168024957389900
"""benji @ _-F7xMtKGi"" checks",2023-03-31T07:59:33.030Z,168024957303000
"Flop:  [10♦, K♥, 5♦]",2023-03-31T07:59:30.783Z,168024957078300
"""benji @ _-F7xMtKGi"" calls 4.50",2023-03-31T07:59:29.953Z,168024956995300
"""Anderw @ -kN9JZEj5n"" folds",2023-03-31T07:59:24.545Z,168024956454500
"""Seneca @ 3K1udw0KZ8"" raises to 4.50",2023-03-31T07:59:10.486Z,168024955048600
"""benji @ _-F7xMtKGi"" posts a big blind of 2.00",2023-03-31T07:59:01.357Z,168024954135706
"""Anderw @ -kN9JZEj5n"" posts a small blind of 1.00",2023-03-31T07:59:01.357Z,168024954135705
"Player stacks: #5 ""benji @ _-F7xMtKGi"" (514.95) | #8 ""Seneca @ 3K1udw0KZ8"" (1107.87) | #9 ""Anderw @ -kN9JZEj5n"" (1075.50)",2023-03-31T07:59:01.357Z,168024954135701
"-- starting hand #272 (id: jwitet508qt0)  (No Limit Texas Hold'em) (dealer: ""Seneca @ 3K1udw0KZ8"") --",2023-03-31T07:59:01.357Z,168024954135700
"-- ending hand #271 --",2023-03-31T07:58:58.442Z,168024953844202
"""Seneca @ 3K1udw0KZ8"" collected 16.00 from pot",2023-03-31T07:58:58.442Z,168024953844201
"Uncalled bet of 4.00 returned to ""Seneca @ 3K1udw0KZ8""",2023-03-31T07:58:58.442Z,168024953844200
"""benji @ _-F7xMtKGi"" folds",2023-03-31T07:58:57.612Z,168024953761200
"""Seneca @ 3K1udw0KZ8"" bets 4.00",2023-03-31T07:58:55.972Z,168024953597200
"Flop:  [7♣, 7♥, 2♦]",2023-03-31T07:58:48.068Z,168024952806800
"""Anderw @ -kN9JZEj5n"" folds",2023-03-31T07:58:47.260Z,168024952726000
"""Seneca @ 3K1udw0KZ8"" calls 7.00",2023-03-31T07:58:46.397Z,168024952639700
"""benji @ _-F7xMtKGi"" raises to 7.00",2023-03-31T07:58:42.610Z,168024952261000
"""Anderw @ -kN9JZEj5n"" posts a big blind of 2.00",2023-03-31T07:58:40.829Z,168024952082906
"""Seneca @ 3K1udw0KZ8"" posts a small blind of 1.00",2023-03-31T07:58:40.829Z,168024952082905
"Player stacks: #5 ""benji @ _-F7xMtKGi"" (521.95) | #8 ""Seneca @ 3K1udw0KZ8"" (1098.87) | #9 ""Anderw @ -kN9JZEj5n"" (1077.50)",2023-03-31T07:58:40.829Z,168024952082901
"-- starting hand #271 (id: rsxxcjpclwhp)  (No Limit Texas Hold'em) (dealer: ""benji @ _-F7xMtKGi"") --",2023-03-31T07:58:40.829Z,168024952082900
"-- ending hand #270 --",2023-03-31T07:58:37.912Z,168024951791202
"""benji @ _-F7xMtKGi"" collected 4.00 from pot",2023-03-31T07:58:37.912Z,168024951791201
"Uncalled bet of 4.00 returned to ""benji @ _-F7xMtKGi""",2023-03-31T07:58:37.912Z,168024951791200
"""Seneca @ 3K1udw0KZ8"" folds",2023-03-31T07:58:37.080Z,168024951708000
"""benji @ _-F7xMtKGi"" raises to 6.00",2023-03-31T07:58:14.318Z,168024949431800
