entry,at,order
"The player ""Kitso$ @ 4DT3vFeWj1"" stand up with the stack of 1087.69.",2023-05-17T11:46:40.723Z,168432400072300
"-- ending hand #1020 --",2023-05-17T11:46:37.816Z,168432399781602
"""MJK @ 8xuYQoCB-e"" collected 4.00 from pot",2023-05-17T11:46:37.816Z,168432399781601
"Uncalled bet of 2.00 returned to ""MJK @ 8xuYQoCB-e""",2023-05-17T11:46:37.816Z,168432399781600
"""Kitso$ @ 4DT3vFeWj1"" folds",2023-05-17T11:46:37.010Z,168432399701000
"""MJK @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-05-17T11:46:33.310Z,168432399331005
"""Kitso$ @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-05-17T11:46:33.310Z,168432399331004
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (539.66) | #10 ""Kitso$ @ 4DT3vFeWj1"" (1089.69)",2023-05-17T11:46:33.310Z,168432399331001
"-- starting hand #1020 (id: rxgvz9wbmag4)  (Pot Limit Omaha Hi) (dealer: ""Kitso$ @ 4DT3vFeWj1"") --",2023-05-17T11:46:33.310Z,168432399331000
"-- ending hand #1019 --",2023-05-17T11:46:30.365Z,168432399036502
"""MJK @ 8xuYQoCB-e"" collected 8.00 from pot",2023-05-17T11:46:30.365Z,168432399036501
"Uncalled bet of 8.00 returned to ""MJK @ 8xuYQoCB-e""",2023-05-17T11:46:30.365Z,168432399036500
"""Kitso$ @ 4DT3vFeWj1"" folds",2023-05-17T11:46:29.530Z,168432398953000
"""MJK @ 8xuYQoCB-e"" raises to 12.00",2023-05-17T11:46:28.522Z,168432398852200
"""Kitso$ @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-05-17T11:46:26.207Z,168432398620705
"""MJK @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-05-17T11:46:26.207Z,168432398620704
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (535.66) | #10 ""Kitso$ @ 4DT3vFeWj1"" (1093.69)",2023-05-17T11:46:26.207Z,168432398620701
"-- starting hand #1019 (id: 5vtfbywgll3p)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-05-17T11:46:26.207Z,168432398620700
"-- ending hand #1018 --",2023-05-17T11:46:23.300Z,168432398330002
"""MJK @ 8xuYQoCB-e"" collected 4.00 from pot",2023-05-17T11:46:23.300Z,168432398330001
"Uncalled bet of 2.00 returned to ""MJK @ 8xuYQoCB-e""",2023-05-17T11:46:23.300Z,168432398330000
"""Kitso$ @ 4DT3vFeWj1"" folds",2023-05-17T11:46:22.417Z,168432398241700
"""MJK @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-05-17T11:46:21.356Z,168432398135605
"""Kitso$ @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-05-17T11:46:21.356Z,168432398135604
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (533.66) | #10 ""Kitso$ @ 4DT3vFeWj1"" (1095.69)",2023-05-17T11:46:21.356Z,168432398135601
"-- starting hand #1018 (id: 55omosl51tw2)  (Pot Limit Omaha Hi) (dealer: ""Kitso$ @ 4DT3vFeWj1"") --",2023-05-17T11:46:21.356Z,168432398135600
"-- ending hand #1017 --",2023-05-17T11:46:18.401Z,168432397840102
"""MJK @ 8xuYQoCB-e"" collected 8.00 from pot",2023-05-17T11:46:18.401Z,168432397840101
"Uncalled bet of 8.00 returned to ""MJK @ 8xuYQoCB-e""",2023-05-17T11:46:18.401Z,168432397840100
"""Kitso$ @ 4DT3vFeWj1"" folds",2023-05-17T11:46:17.598Z,168432397759800
"""MJK @ 8xuYQoCB-e"" raises to 12.00",2023-05-17T11:46:16.211Z,168432397621100
"""Kitso$ @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-05-17T11:46:14.151Z,168432397415105
"""MJK @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-05-17T11:46:14.151Z,168432397415104
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (529.66) | #10 ""Kitso$ @ 4DT3vFeWj1"" (1099.69)",2023-05-17T11:46:14.151Z,168432397415101
"-- starting hand #1017 (id: bngqcninop2b)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-05-17T11:46:14.151Z,168432397415100
"-- ending hand #1016 --",2023-05-17T11:46:08.139Z,168432396813903
"""MJK @ 8xuYQoCB-e"" shows a 3♠, A♠, 4♣, 6♣.",2023-05-17T11:46:08.139Z,168432396813902
"""Kitso$ @ 4DT3vFeWj1"" collected 360.00 from pot with Two Pair (combination: A♦, A♣, 9♥, 9♠, K♠)",2023-05-17T11:46:08.139Z,168432396813901
"""Kitso$ @ 4DT3vFeWj1"" shows a A♦, K♠, 2♣, K♣.",2023-05-17T11:46:08.139Z,168432396813900
"""Kitso$ @ 4DT3vFeWj1"" checks",2023-05-17T11:46:07.319Z,168432396731900
"""MJK @ 8xuYQoCB-e"" checks",2023-05-17T11:46:06.294Z,168432396629400
"River: 5♣, 3♦, 9♥, A♣ [9♠]",2023-05-17T11:46:04.475Z,168432396447500
"""Kitso$ @ 4DT3vFeWj1"" calls 108.00",2023-05-17T11:46:03.613Z,168432396361300
"""MJK @ 8xuYQoCB-e"" bets 108.00",2023-05-17T11:46:00.644Z,168432396064400
"Turn: 5♣, 3♦, 9♥ [A♣]",2023-05-17T11:45:57.588Z,168432395758800
"""Kitso$ @ 4DT3vFeWj1"" calls 36.00",2023-05-17T11:45:56.745Z,168432395674500
"""MJK @ 8xuYQoCB-e"" bets 36.00",2023-05-17T11:45:54.456Z,168432395445600
"Flop:  [5♣, 3♦, 9♥]",2023-05-17T11:45:51.226Z,168432395122600
"""Kitso$ @ 4DT3vFeWj1"" calls 36.00",2023-05-17T11:45:50.390Z,168432395039000
"""MJK @ 8xuYQoCB-e"" raises to 36.00",2023-05-17T11:45:47.799Z,168432394779900
"""Kitso$ @ 4DT3vFeWj1"" raises to 12.00",2023-05-17T11:45:45.173Z,168432394517300
"""MJK @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-05-17T11:45:42.968Z,168432394296805
"""Kitso$ @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-05-17T11:45:42.968Z,168432394296804
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (709.66) | #10 ""Kitso$ @ 4DT3vFeWj1"" (919.69)",2023-05-17T11:45:42.968Z,168432394296801
"-- starting hand #1016 (id: jgfokiugw0ff)  (Pot Limit Omaha Hi) (dealer: ""Kitso$ @ 4DT3vFeWj1"") --",2023-05-17T11:45:42.968Z,168432394296800
"-- ending hand #1015 --",2023-05-17T11:45:36.964Z,168432393696402
"""Kitso$ @ 4DT3vFeWj1"" collected 48.00 from pot with Two Pair (combination: 10♦, 10♣, 8♥, 8♣, K♦)",2023-05-17T11:45:36.964Z,168432393696401
"""Kitso$ @ 4DT3vFeWj1"" shows a 10♦, 2♥, 10♣, 9♦.",2023-05-17T11:45:36.964Z,168432393696400
"""MJK @ 8xuYQoCB-e"" checks",2023-05-17T11:45:36.092Z,168432393609200
"""Kitso$ @ 4DT3vFeWj1"" checks",2023-05-17T11:45:34.929Z,168432393492900
"River: 8♥, K♦, 6♥, 8♣ [5♣]",2023-05-17T11:45:32.784Z,168432393278400
"""MJK @ 8xuYQoCB-e"" checks",2023-05-17T11:45:31.969Z,168432393196900
"""Kitso$ @ 4DT3vFeWj1"" checks",2023-05-17T11:45:30.088Z,168432393008800
"Turn: 8♥, K♦, 6♥ [8♣]",2023-05-17T11:45:28.258Z,168432392825800
"""Kitso$ @ 4DT3vFeWj1"" calls 12.00",2023-05-17T11:45:27.436Z,168432392743600
"""MJK @ 8xuYQoCB-e"" bets 12.00",2023-05-17T11:45:25.710Z,168432392571000
"""Kitso$ @ 4DT3vFeWj1"" checks",2023-05-17T11:45:23.149Z,168432392314900
"Flop:  [8♥, K♦, 6♥]",2023-05-17T11:45:21.253Z,168432392125300
"""Kitso$ @ 4DT3vFeWj1"" calls 12.00",2023-05-17T11:45:20.395Z,168432392039500
"""MJK @ 8xuYQoCB-e"" raises to 12.00",2023-05-17T11:45:19.428Z,168432391942800
"""Kitso$ @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-05-17T11:45:17.251Z,168432391725105
"""MJK @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-05-17T11:45:17.251Z,168432391725104
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (733.66) | #10 ""Kitso$ @ 4DT3vFeWj1"" (895.69)",2023-05-17T11:45:17.251Z,168432391725101
"-- starting hand #1015 (id: wa7vc8m1dk3c)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-05-17T11:45:17.251Z,168432391725100
"-- ending hand #1014 --",2023-05-17T11:45:11.316Z,168432391131602
"""MJK @ 8xuYQoCB-e"" collected 4.00 from pot",2023-05-17T11:45:11.316Z,168432391131601
"Uncalled bet of 2.00 returned to ""MJK @ 8xuYQoCB-e""",2023-05-17T11:45:11.316Z,168432391131600
"""Kitso$ @ 4DT3vFeWj1"" folds",2023-05-17T11:45:10.485Z,168432391048500
"""MJK @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-05-17T11:45:07.441Z,168432390744105
"""Kitso$ @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-05-17T11:45:07.441Z,168432390744104
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (731.66) | #10 ""Kitso$ @ 4DT3vFeWj1"" (897.69)",2023-05-17T11:45:07.441Z,168432390744101
"-- starting hand #1014 (id: gw0zedeulaqb)  (Pot Limit Omaha Hi) (dealer: ""Kitso$ @ 4DT3vFeWj1"") --",2023-05-17T11:45:07.441Z,168432390744100
"-- ending hand #1013 --",2023-05-17T11:45:01.516Z,168432390151602
"""MJK @ 8xuYQoCB-e"" collected 8.00 from pot",2023-05-17T11:45:01.516Z,168432390151601
"Uncalled bet of 8.00 returned to ""MJK @ 8xuYQoCB-e""",2023-05-17T11:45:01.516Z,168432390151600
"""Kitso$ @ 4DT3vFeWj1"" folds",2023-05-17T11:45:00.659Z,168432390065900
"""MJK @ 8xuYQoCB-e"" raises to 12.00",2023-05-17T11:44:59.665Z,168432389966500
"""Kitso$ @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-05-17T11:44:57.500Z,168432389750005
"""MJK @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-05-17T11:44:57.500Z,168432389750004
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (727.66) | #10 ""Kitso$ @ 4DT3vFeWj1"" (901.69)",2023-05-17T11:44:57.500Z,168432389750001
"-- starting hand #1013 (id: ul18pr4qrjll)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-05-17T11:44:57.500Z,168432389750000
"-- ending hand #1012 --",2023-05-17T11:44:51.519Z,168432389151902
"""MJK @ 8xuYQoCB-e"" collected 4.00 from pot",2023-05-17T11:44:51.519Z,168432389151901
"Uncalled bet of 2.00 returned to ""MJK @ 8xuYQoCB-e""",2023-05-17T11:44:51.519Z,168432389151900
"""Kitso$ @ 4DT3vFeWj1"" folds",2023-05-17T11:44:50.698Z,168432389069800
"""MJK @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-05-17T11:44:49.399Z,168432388939905
"""Kitso$ @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-05-17T11:44:49.399Z,168432388939904
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (725.66) | #10 ""Kitso$ @ 4DT3vFeWj1"" (903.69)",2023-05-17T11:44:49.399Z,168432388939901
"-- starting hand #1012 (id: cjrrtk7ah7qf)  (Pot Limit Omaha Hi) (dealer: ""Kitso$ @ 4DT3vFeWj1"") --",2023-05-17T11:44:49.399Z,168432388939900
"-- ending hand #1011 --",2023-05-17T11:44:43.397Z,168432388339702
"""Kitso$ @ 4DT3vFeWj1"" collected 48.00 from pot with Two Pair (combination: 8♦, 8♣, 6♠, 6♦, K♦)",2023-05-17T11:44:43.397Z,168432388339701
"""Kitso$ @ 4DT3vFeWj1"" shows a 10♠, 8♦, 6♠, A♠.",2023-05-17T11:44:43.397Z,168432388339700
"""MJK @ 8xuYQoCB-e"" checks",2023-05-17T11:44:42.568Z,168432388256800
"""Kitso$ @ 4DT3vFeWj1"" checks",2023-05-17T11:44:41.502Z,168432388150200
"River: 6♦, 8♣, Q♥, K♦ [5♠]",2023-05-17T11:44:39.879Z,168432387987900
"""Kitso$ @ 4DT3vFeWj1"" calls 12.00",2023-05-17T11:44:39.044Z,168432387904400
"""MJK @ 8xuYQoCB-e"" bets 12.00",2023-05-17T11:44:37.387Z,168432387738700
"""Kitso$ @ 4DT3vFeWj1"" checks",2023-05-17T11:44:34.209Z,168432387420900
"Turn: 6♦, 8♣, Q♥ [K♦]",2023-05-17T11:44:32.783Z,168432387278300
"""MJK @ 8xuYQoCB-e"" checks",2023-05-17T11:44:31.951Z,168432387195100
"""Kitso$ @ 4DT3vFeWj1"" checks",2023-05-17T11:44:30.361Z,168432387036100
"Flop:  [6♦, 8♣, Q♥]",2023-05-17T11:44:28.868Z,168432386886800
"""Kitso$ @ 4DT3vFeWj1"" calls 12.00",2023-05-17T11:44:28.020Z,168432386802000
"""MJK @ 8xuYQoCB-e"" raises to 12.00",2023-05-17T11:44:26.699Z,168432386669900
"""Kitso$ @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-05-17T11:44:23.093Z,168432386309305
"""MJK @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-05-17T11:44:23.093Z,168432386309304
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (749.66) | #10 ""Kitso$ @ 4DT3vFeWj1"" (879.69)",2023-05-17T11:44:23.093Z,168432386309301
"-- starting hand #1011 (id: fs7mam3llfqh)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-05-17T11:44:23.093Z,168432386309300
"-- ending hand #1010 --",2023-05-17T11:44:17.165Z,168432385716502
"""MJK @ 8xuYQoCB-e"" collected 4.00 from pot",2023-05-17T11:44:17.165Z,168432385716501
"Uncalled bet of 2.00 returned to ""MJK @ 8xuYQoCB-e""",2023-05-17T11:44:17.165Z,168432385716500
"""Kitso$ @ 4DT3vFeWj1"" folds",2023-05-17T11:44:16.337Z,168432385633700
"""MJK @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-05-17T11:44:15.257Z,168432385525705
"""Kitso$ @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-05-17T11:44:15.257Z,168432385525704
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (747.66) | #10 ""Kitso$ @ 4DT3vFeWj1"" (881.69)",2023-05-17T11:44:15.257Z,168432385525701
"-- starting hand #1010 (id: s853gdkupzz3)  (Pot Limit Omaha Hi) (dealer: ""Kitso$ @ 4DT3vFeWj1"") --",2023-05-17T11:44:15.257Z,168432385525700
"-- ending hand #1009 --",2023-05-17T11:44:09.350Z,168432384935002
"""MJK @ 8xuYQoCB-e"" collected 8.00 from pot",2023-05-17T11:44:09.350Z,168432384935001
"Uncalled bet of 8.00 returned to ""MJK @ 8xuYQoCB-e""",2023-05-17T11:44:09.350Z,168432384935000
"""Kitso$ @ 4DT3vFeWj1"" folds",2023-05-17T11:44:08.522Z,168432384852200
"""MJK @ 8xuYQoCB-e"" raises to 12.00",2023-05-17T11:44:07.610Z,168432384761000
"""Kitso$ @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-05-17T11:44:05.658Z,168432384565805
"""MJK @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-05-17T11:44:05.658Z,168432384565804
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (743.66) | #10 ""Kitso$ @ 4DT3vFeWj1"" (885.69)",2023-05-17T11:44:05.658Z,168432384565801
"-- starting hand #1009 (id: mvhkkprv7gio)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-05-17T11:44:05.658Z,168432384565800
"-- ending hand #1008 --",2023-05-17T11:44:02.747Z,168432384274702
"""MJK @ 8xuYQoCB-e"" collected 24.00 from pot",2023-05-17T11:44:02.747Z,168432384274701
"Uncalled bet of 18.00 returned to ""MJK @ 8xuYQoCB-e""",2023-05-17T11:44:02.747Z,168432384274700
"""Kitso$ @ 4DT3vFeWj1"" folds",2023-05-17T11:44:01.857Z,168432384185700
"""MJK @ 8xuYQoCB-e"" bets 18.00",2023-05-17T11:44:00.902Z,168432384090200
"River: 3♣, Q♦, A♥, 10♦ [Q♣]",2023-05-17T11:43:58.232Z,168432383823200
"""Kitso$ @ 4DT3vFeWj1"" checks",2023-05-17T11:43:57.350Z,168432383735000
"""MJK @ 8xuYQoCB-e"" checks",2023-05-17T11:43:56.396Z,168432383639600
"Turn: 3♣, Q♦, A♥ [10♦]",2023-05-17T11:43:55.638Z,168432383563800
"""Kitso$ @ 4DT3vFeWj1"" checks",2023-05-17T11:43:54.804Z,168432383480400
"""MJK @ 8xuYQoCB-e"" checks",2023-05-17T11:43:53.776Z,168432383377600
"Flop:  [3♣, Q♦, A♥]",2023-05-17T11:43:53.026Z,168432383302600
"""MJK @ 8xuYQoCB-e"" calls 12.00",2023-05-17T11:43:52.193Z,168432383219300
"""Kitso$ @ 4DT3vFeWj1"" raises to 12.00",2023-05-17T11:43:51.249Z,168432383124900
"""MJK @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-05-17T11:43:48.423Z,168432382842305
"""Kitso$ @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-05-17T11:43:48.423Z,168432382842304
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (731.66) | #10 ""Kitso$ @ 4DT3vFeWj1"" (897.69)",2023-05-17T11:43:48.423Z,168432382842301
"-- starting hand #1008 (id: lhgxklhtnn3k)  (Pot Limit Omaha Hi) (dealer: ""Kitso$ @ 4DT3vFeWj1"") --",2023-05-17T11:43:48.423Z,168432382842300
"-- ending hand #1007 --",2023-05-17T11:43:42.493Z,168432382249302
"""MJK @ 8xuYQoCB-e"" collected 8.00 from pot",2023-05-17T11:43:42.493Z,168432382249301
"Uncalled bet of 8.00 returned to ""MJK @ 8xuYQoCB-e""",2023-05-17T11:43:42.493Z,168432382249300
"""Kitso$ @ 4DT3vFeWj1"" folds",2023-05-17T11:43:41.680Z,168432382168000
"""MJK @ 8xuYQoCB-e"" raises to 12.00",2023-05-17T11:43:40.741Z,168432382074100
"""Kitso$ @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-05-17T11:43:38.614Z,168432381861405
"""MJK @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-05-17T11:43:38.614Z,168432381861404
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (727.66) | #10 ""Kitso$ @ 4DT3vFeWj1"" (901.69)",2023-05-17T11:43:38.614Z,168432381861401
"-- starting hand #1007 (id: d51yzfl2kn7i)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-05-17T11:43:38.614Z,168432381861400
"-- ending hand #1006 --",2023-05-17T11:43:32.625Z,168432381262502
"""Kitso$ @ 4DT3vFeWj1"" collected 8.00 from pot",2023-05-17T11:43:32.625Z,168432381262501
"Uncalled bet of 8.00 returned to ""Kitso$ @ 4DT3vFeWj1""",2023-05-17T11:43:32.625Z,168432381262500
"""MJK @ 8xuYQoCB-e"" folds",2023-05-17T11:43:31.805Z,168432381180500
"""Kitso$ @ 4DT3vFeWj1"" raises to 12.00",2023-05-17T11:43:30.825Z,168432381082500
"""MJK @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-05-17T11:43:28.627Z,168432380862705
"""Kitso$ @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-05-17T11:43:28.627Z,168432380862704
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (731.66) | #10 ""Kitso$ @ 4DT3vFeWj1"" (897.69)",2023-05-17T11:43:28.627Z,168432380862701
"-- starting hand #1006 (id: lqzly6u5kxc4)  (Pot Limit Omaha Hi) (dealer: ""Kitso$ @ 4DT3vFeWj1"") --",2023-05-17T11:43:28.627Z,168432380862700
"-- ending hand #1005 --",2023-05-17T11:43:22.621Z,168432380262102
"""Kitso$ @ 4DT3vFeWj1"" collected 48.00 from pot with Flush (combination: K♣, Q♣, J♣, 8♣, 6♣)",2023-05-17T11:43:22.621Z,168432380262101
"""Kitso$ @ 4DT3vFeWj1"" shows a J♣, 9♠, 6♦, K♣.",2023-05-17T11:43:22.621Z,168432380262100
"""MJK @ 8xuYQoCB-e"" checks",2023-05-17T11:43:21.782Z,168432380178200
"""Kitso$ @ 4DT3vFeWj1"" checks",2023-05-17T11:43:20.772Z,168432380077200
"River: K♦, 3♣, 6♣, 8♣ [Q♣]",2023-05-17T11:43:19.163Z,168432379916300
"""MJK @ 8xuYQoCB-e"" calls 12.00",2023-05-17T11:43:18.351Z,168432379835100
"""Kitso$ @ 4DT3vFeWj1"" bets 12.00",2023-05-17T11:43:16.453Z,168432379645300
"Turn: K♦, 3♣, 6♣ [8♣]",2023-05-17T11:43:13.421Z,168432379342100
"""MJK @ 8xuYQoCB-e"" checks",2023-05-17T11:43:12.607Z,168432379260700
"""Kitso$ @ 4DT3vFeWj1"" checks",2023-05-17T11:43:11.198Z,168432379119800
"Flop:  [K♦, 3♣, 6♣]",2023-05-17T11:43:09.551Z,168432378955100
"""Kitso$ @ 4DT3vFeWj1"" calls 12.00",2023-05-17T11:43:08.687Z,168432378868700
"""MJK @ 8xuYQoCB-e"" raises to 12.00",2023-05-17T11:43:06.863Z,168432378686300
"""Kitso$ @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-05-17T11:43:04.653Z,168432378465305
"""MJK @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-05-17T11:43:04.653Z,168432378465304
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (755.66) | #10 ""Kitso$ @ 4DT3vFeWj1"" (873.69)",2023-05-17T11:43:04.653Z,168432378465301
"-- starting hand #1005 (id: k4plkgttamor)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-05-17T11:43:04.653Z,168432378465300
"-- ending hand #1004 --",2023-05-17T11:42:58.741Z,168432377874102
"""MJK @ 8xuYQoCB-e"" collected 4.00 from pot",2023-05-17T11:42:58.741Z,168432377874101
"Uncalled bet of 2.00 returned to ""MJK @ 8xuYQoCB-e""",2023-05-17T11:42:58.741Z,168432377874100
"""Kitso$ @ 4DT3vFeWj1"" folds",2023-05-17T11:42:57.881Z,168432377788100
"""MJK @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-05-17T11:42:56.640Z,168432377664005
"""Kitso$ @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-05-17T11:42:56.640Z,168432377664004
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (753.66) | #10 ""Kitso$ @ 4DT3vFeWj1"" (875.69)",2023-05-17T11:42:56.640Z,168432377664001
"-- starting hand #1004 (id: e4u7frwixmsc)  (Pot Limit Omaha Hi) (dealer: ""Kitso$ @ 4DT3vFeWj1"") --",2023-05-17T11:42:56.640Z,168432377664000
"-- ending hand #1003 --",2023-05-17T11:42:50.735Z,168432377073502
"""MJK @ 8xuYQoCB-e"" collected 8.00 from pot",2023-05-17T11:42:50.735Z,168432377073501
"Uncalled bet of 8.00 returned to ""MJK @ 8xuYQoCB-e""",2023-05-17T11:42:50.735Z,168432377073500
"""Kitso$ @ 4DT3vFeWj1"" folds",2023-05-17T11:42:49.872Z,168432376987200
"""MJK @ 8xuYQoCB-e"" raises to 12.00",2023-05-17T11:42:48.840Z,168432376884000
"""Kitso$ @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-05-17T11:42:46.426Z,168432376642605
"""MJK @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-05-17T11:42:46.426Z,168432376642604
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (749.66) | #10 ""Kitso$ @ 4DT3vFeWj1"" (879.69)",2023-05-17T11:42:46.426Z,168432376642601
"-- starting hand #1003 (id: 8gpwda7jei9s)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-05-17T11:42:46.426Z,168432376642600
"-- ending hand #1002 --",2023-05-17T11:42:40.523Z,168432376052302
"""MJK @ 8xuYQoCB-e"" collected 4.00 from pot",2023-05-17T11:42:40.523Z,168432376052301
"Uncalled bet of 2.00 returned to ""MJK @ 8xuYQoCB-e""",2023-05-17T11:42:40.523Z,168432376052300
"""Kitso$ @ 4DT3vFeWj1"" folds",2023-05-17T11:42:39.634Z,168432375963400
"""MJK @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-05-17T11:42:38.320Z,168432375832005
"""Kitso$ @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-05-17T11:42:38.320Z,168432375832004
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (747.66) | #10 ""Kitso$ @ 4DT3vFeWj1"" (881.69)",2023-05-17T11:42:38.320Z,168432375832001
"-- starting hand #1002 (id: l7ugxlvxwvge)  (Pot Limit Omaha Hi) (dealer: ""Kitso$ @ 4DT3vFeWj1"") --",2023-05-17T11:42:38.320Z,168432375832000
"-- ending hand #1001 --",2023-05-17T11:42:35.403Z,168432375540302
"""MJK @ 8xuYQoCB-e"" collected 48.00 from pot",2023-05-17T11:42:35.403Z,168432375540301
"Uncalled bet of 24.00 returned to ""MJK @ 8xuYQoCB-e""",2023-05-17T11:42:35.403Z,168432375540300
"""Kitso$ @ 4DT3vFeWj1"" folds",2023-05-17T11:42:34.580Z,168432375458000
"""MJK @ 8xuYQoCB-e"" bets 24.00",2023-05-17T11:42:33.222Z,168432375322200
"""Kitso$ @ 4DT3vFeWj1"" checks",2023-05-17T11:42:30.103Z,168432375010300
"River: A♦, 2♥, 7♦, 3♦ [6♦]",2023-05-17T11:42:28.309Z,168432374830900
"""MJK @ 8xuYQoCB-e"" checks",2023-05-17T11:42:27.414Z,168432374741400
"""Kitso$ @ 4DT3vFeWj1"" checks",2023-05-17T11:42:25.994Z,168432374599400
"Turn: A♦, 2♥, 7♦ [3♦]",2023-05-17T11:42:24.367Z,168432374436700
"""Kitso$ @ 4DT3vFeWj1"" calls 12.00",2023-05-17T11:42:23.540Z,168432374354000
"""MJK @ 8xuYQoCB-e"" bets 12.00",2023-05-17T11:42:21.831Z,168432374183100
"""Kitso$ @ 4DT3vFeWj1"" checks",2023-05-17T11:42:19.150Z,168432373915000
"Flop:  [A♦, 2♥, 7♦]",2023-05-17T11:42:17.502Z,168432373750200
"""Kitso$ @ 4DT3vFeWj1"" calls 12.00",2023-05-17T11:42:16.650Z,168432373665000
"""MJK @ 8xuYQoCB-e"" raises to 12.00",2023-05-17T11:42:15.295Z,168432373529500
"""Kitso$ @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-05-17T11:42:13.286Z,168432373328605
"""MJK @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-05-17T11:42:13.286Z,168432373328604
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (723.66) | #10 ""Kitso$ @ 4DT3vFeWj1"" (905.69)",2023-05-17T11:42:13.286Z,168432373328601
"-- starting hand #1001 (id: ysvxj0kixjcn)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-05-17T11:42:13.286Z,168432373328600
"-- ending hand #1000 --",2023-05-17T11:42:10.283Z,168432373028302
"""MJK @ 8xuYQoCB-e"" collected 24.00 from pot",2023-05-17T11:42:10.283Z,168432373028301
"Uncalled bet of 18.00 returned to ""MJK @ 8xuYQoCB-e""",2023-05-17T11:42:10.283Z,168432373028300
