entry,at,order
"The player ""Kitsos @ 4DT3vFeWj1"" quits the game with a stack of 1002.79.",2023-06-01T12:02:33.536Z,168562095353600
"The player ""Kitsos @ 4DT3vFeWj1"" stand up with the stack of 1002.79.",2023-06-01T12:02:00.624Z,168562092062400
"""Kitsos @ 4DT3vFeWj1"" shows a A♣, A♥, 7♠, 7♣.",2023-06-01T12:01:58.174Z,168562091817400
"""MJK @ 8xuYQoCB-e"" shows a A♦, 10♥, 7♦, 6♦.",2023-06-01T12:01:56.658Z,168562091665800
"-- ending hand #1448 --",2023-06-01T12:01:56.217Z,168562091621702
"""MJK @ 8xuYQoCB-e"" collected 150.00 from pot",2023-06-01T12:01:56.217Z,168562091621701
"Uncalled bet of 150.00 returned to ""MJK @ 8xuYQoCB-e""",2023-06-01T12:01:56.217Z,168562091621700
"""Kitsos @ 4DT3vFeWj1"" folds",2023-06-01T12:01:55.316Z,168562091531600
"""MJK @ 8xuYQoCB-e"" raises to 195.00",2023-06-01T12:01:53.314Z,168562091331400
"""Kitsos @ 4DT3vFeWj1"" bets 45.00",2023-06-01T12:01:48.485Z,168562090848500
"River: 4♣, 6♥, 6♣, 5♠ [10♣]",2023-06-01T12:01:45.634Z,168562090563400
"""MJK @ 8xuYQoCB-e"" checks",2023-06-01T12:01:44.785Z,168562090478500
"""Kitsos @ 4DT3vFeWj1"" checks",2023-06-01T12:01:43.455Z,168562090345500
"Turn: 4♣, 6♥, 6♣ [5♠]",2023-06-01T12:01:41.495Z,168562090149500
"""Kitsos @ 4DT3vFeWj1"" calls 18.00",2023-06-01T12:01:40.667Z,168562090066700
"""MJK @ 8xuYQoCB-e"" bets 18.00",2023-06-01T12:01:38.639Z,168562089863900
"""Kitsos @ 4DT3vFeWj1"" checks",2023-06-01T12:01:34.931Z,168562089493100
"Flop:  [4♣, 6♥, 6♣]",2023-06-01T12:01:33.211Z,168562089321100
"""Kitsos @ 4DT3vFeWj1"" calls 12.00",2023-06-01T12:01:32.404Z,168562089240400
"""MJK @ 8xuYQoCB-e"" raises to 12.00",2023-06-01T12:01:31.023Z,168562089102300
"""Kitsos @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-06-01T12:01:28.181Z,168562088818105
"""MJK @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-06-01T12:01:28.181Z,168562088818104
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (1950.98) | #6 ""Kitsos @ 4DT3vFeWj1"" (1077.79)",2023-06-01T12:01:28.181Z,168562088818101
"-- starting hand #1448 (id: ikzcjoynojgj)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-06-01T12:01:28.181Z,168562088818100
"-- ending hand #1447 --",2023-06-01T12:01:25.268Z,168562088526802
"""MJK @ 8xuYQoCB-e"" collected 4.00 from pot",2023-06-01T12:01:25.268Z,168562088526801
"Uncalled bet of 2.00 returned to ""MJK @ 8xuYQoCB-e""",2023-06-01T12:01:25.268Z,168562088526800
"""Kitsos @ 4DT3vFeWj1"" folds",2023-06-01T12:01:24.438Z,168562088443800
"""MJK @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-06-01T12:01:23.355Z,168562088335505
"""Kitsos @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-06-01T12:01:23.355Z,168562088335504
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (1948.98) | #6 ""Kitsos @ 4DT3vFeWj1"" (1079.79)",2023-06-01T12:01:23.355Z,168562088335501
"-- starting hand #1447 (id: d6ybvfonjr0k)  (Pot Limit Omaha Hi) (dealer: ""Kitsos @ 4DT3vFeWj1"") --",2023-06-01T12:01:23.355Z,168562088335500
"-- ending hand #1446 --",2023-06-01T12:01:20.377Z,168562088037702
"""MJK @ 8xuYQoCB-e"" collected 8.00 from pot",2023-06-01T12:01:20.377Z,168562088037701
"Uncalled bet of 8.00 returned to ""MJK @ 8xuYQoCB-e""",2023-06-01T12:01:20.377Z,168562088037700
"""Kitsos @ 4DT3vFeWj1"" folds",2023-06-01T12:01:19.570Z,168562087957000
"""MJK @ 8xuYQoCB-e"" raises to 12.00",2023-06-01T12:01:18.584Z,168562087858400
"""Kitsos @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-06-01T12:01:16.456Z,168562087645605
"""MJK @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-06-01T12:01:16.456Z,168562087645604
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (1944.98) | #6 ""Kitsos @ 4DT3vFeWj1"" (1083.79)",2023-06-01T12:01:16.456Z,168562087645601
"-- starting hand #1446 (id: mx3cyppbtzcb)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-06-01T12:01:16.456Z,168562087645600
"-- ending hand #1445 --",2023-06-01T12:01:10.547Z,168562087054702
"""MJK @ 8xuYQoCB-e"" collected 4.00 from pot",2023-06-01T12:01:10.547Z,168562087054701
"Uncalled bet of 2.00 returned to ""MJK @ 8xuYQoCB-e""",2023-06-01T12:01:10.547Z,168562087054700
"""Kitsos @ 4DT3vFeWj1"" folds",2023-06-01T12:01:09.684Z,168562086968400
"""MJK @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-06-01T12:01:07.771Z,168562086777105
"""Kitsos @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-06-01T12:01:07.771Z,168562086777104
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (1942.98) | #6 ""Kitsos @ 4DT3vFeWj1"" (1085.79)",2023-06-01T12:01:07.771Z,168562086777101
"-- starting hand #1445 (id: wnwvouhpesct)  (Pot Limit Omaha Hi) (dealer: ""Kitsos @ 4DT3vFeWj1"") --",2023-06-01T12:01:07.771Z,168562086777100
"-- ending hand #1444 --",2023-06-01T12:01:04.744Z,168562086474403
"""Kitsos @ 4DT3vFeWj1"" shows a 10♣, 2♦, 3♥, A♣.",2023-06-01T12:01:04.744Z,168562086474402
"""MJK @ 8xuYQoCB-e"" collected 60.00 from pot with Full House (combination: J♦, J♥, J♣, A♠, A♥)",2023-06-01T12:01:04.744Z,168562086474401
"""MJK @ 8xuYQoCB-e"" shows a J♦, 6♣, J♥, 9♦.",2023-06-01T12:01:04.744Z,168562086474400
"""MJK @ 8xuYQoCB-e"" calls 18.00",2023-06-01T12:01:03.876Z,168562086387600
"""Kitsos @ 4DT3vFeWj1"" bets 18.00",2023-06-01T12:01:02.890Z,168562086289000
"River: 8♣, A♠, 9♣, J♣ [A♥]",2023-06-01T12:01:00.313Z,168562086031300
"""MJK @ 8xuYQoCB-e"" checks",2023-06-01T12:00:59.458Z,168562085945800
"""Kitsos @ 4DT3vFeWj1"" checks",2023-06-01T12:00:57.826Z,168562085782600
"Turn: 8♣, A♠, 9♣ [J♣]",2023-06-01T12:00:56.510Z,168562085651000
"""MJK @ 8xuYQoCB-e"" checks",2023-06-01T12:00:55.638Z,168562085563800
"""Kitsos @ 4DT3vFeWj1"" checks",2023-06-01T12:00:53.667Z,168562085366700
"Flop:  [8♣, A♠, 9♣]",2023-06-01T12:00:52.235Z,168562085223500
"""Kitsos @ 4DT3vFeWj1"" calls 12.00",2023-06-01T12:00:51.413Z,168562085141300
"""MJK @ 8xuYQoCB-e"" raises to 12.00",2023-06-01T12:00:49.845Z,168562084984500
"""Kitsos @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-06-01T12:00:46.833Z,168562084683305
"""MJK @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-06-01T12:00:46.833Z,168562084683304
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (1912.98) | #6 ""Kitsos @ 4DT3vFeWj1"" (1115.79)",2023-06-01T12:00:46.833Z,168562084683301
"-- starting hand #1444 (id: g2dr8w75z7b0)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-06-01T12:00:46.833Z,168562084683300
"-- ending hand #1443 --",2023-06-01T12:00:43.743Z,168562084374303
"""MJK @ 8xuYQoCB-e"" shows a 3♥, 6♥, 7♠, 3♣.",2023-06-01T12:00:43.743Z,168562084374302
"""Kitsos @ 4DT3vFeWj1"" collected 60.00 from pot with Two Pair (combination: K♠, K♥, 4♥, 4♣, Q♣)",2023-06-01T12:00:43.743Z,168562084374301
"""Kitsos @ 4DT3vFeWj1"" shows a J♥, K♠, K♥, 8♥.",2023-06-01T12:00:43.743Z,168562084374300
"""Kitsos @ 4DT3vFeWj1"" checks",2023-06-01T12:00:42.905Z,168562084290500
"""MJK @ 8xuYQoCB-e"" checks",2023-06-01T12:00:42.008Z,168562084200800
"River: 9♥, 4♥, 4♣, 7♣ [Q♣]",2023-06-01T12:00:41.342Z,168562084134200
"""MJK @ 8xuYQoCB-e"" calls 18.00",2023-06-01T12:00:40.530Z,168562084053000
"""Kitsos @ 4DT3vFeWj1"" bets 18.00",2023-06-01T12:00:39.303Z,168562083930300
"""MJK @ 8xuYQoCB-e"" checks",2023-06-01T12:00:36.920Z,168562083692000
"Turn: 9♥, 4♥, 4♣ [7♣]",2023-06-01T12:00:36.141Z,168562083614100
"""Kitsos @ 4DT3vFeWj1"" checks",2023-06-01T12:00:35.297Z,168562083529700
"""MJK @ 8xuYQoCB-e"" checks",2023-06-01T12:00:33.422Z,168562083342200
"Flop:  [9♥, 4♥, 4♣]",2023-06-01T12:00:32.684Z,168562083268400
"""MJK @ 8xuYQoCB-e"" calls 12.00",2023-06-01T12:00:31.857Z,168562083185700
"""Kitsos @ 4DT3vFeWj1"" raises to 12.00",2023-06-01T12:00:30.814Z,168562083081400
"""MJK @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-06-01T12:00:28.605Z,168562082860505
"""Kitsos @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-06-01T12:00:28.605Z,168562082860504
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (1942.98) | #6 ""Kitsos @ 4DT3vFeWj1"" (1085.79)",2023-06-01T12:00:28.605Z,168562082860501
"-- starting hand #1443 (id: kke9cp9l18en)  (Pot Limit Omaha Hi) (dealer: ""Kitsos @ 4DT3vFeWj1"") --",2023-06-01T12:00:28.605Z,168562082860500
"-- ending hand #1442 --",2023-06-01T12:00:25.684Z,168562082568402
"""MJK @ 8xuYQoCB-e"" collected 8.00 from pot",2023-06-01T12:00:25.684Z,168562082568401
"Uncalled bet of 8.00 returned to ""MJK @ 8xuYQoCB-e""",2023-06-01T12:00:25.684Z,168562082568400
"""Kitsos @ 4DT3vFeWj1"" folds",2023-06-01T12:00:24.860Z,168562082486000
"""MJK @ 8xuYQoCB-e"" raises to 12.00",2023-06-01T12:00:23.985Z,168562082398500
"""Kitsos @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-06-01T12:00:21.678Z,168562082167805
"""MJK @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-06-01T12:00:21.678Z,168562082167804
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (1938.98) | #6 ""Kitsos @ 4DT3vFeWj1"" (1089.79)",2023-06-01T12:00:21.678Z,168562082167801
"-- starting hand #1442 (id: 0h7rl0i948s9)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-06-01T12:00:21.678Z,168562082167800
"-- ending hand #1441 --",2023-06-01T12:00:18.723Z,168562081872302
"""Kitsos @ 4DT3vFeWj1"" collected 8.00 from pot",2023-06-01T12:00:18.723Z,168562081872301
"Uncalled bet of 8.00 returned to ""Kitsos @ 4DT3vFeWj1""",2023-06-01T12:00:18.723Z,168562081872300
"""MJK @ 8xuYQoCB-e"" folds",2023-06-01T12:00:17.886Z,168562081788600
"""Kitsos @ 4DT3vFeWj1"" raises to 12.00",2023-06-01T12:00:13.540Z,168562081354000
"""MJK @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-06-01T12:00:11.587Z,168562081158705
"""Kitsos @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-06-01T12:00:11.587Z,168562081158704
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (1942.98) | #6 ""Kitsos @ 4DT3vFeWj1"" (1085.79)",2023-06-01T12:00:11.587Z,168562081158701
"-- starting hand #1441 (id: boy4dlx5zozt)  (Pot Limit Omaha Hi) (dealer: ""Kitsos @ 4DT3vFeWj1"") --",2023-06-01T12:00:11.587Z,168562081158700
"-- ending hand #1440 --",2023-06-01T12:00:08.656Z,168562080865602
"""Kitsos @ 4DT3vFeWj1"" collected 4.00 from pot",2023-06-01T12:00:08.656Z,168562080865601
"Uncalled bet of 2.00 returned to ""Kitsos @ 4DT3vFeWj1""",2023-06-01T12:00:08.656Z,168562080865600
"""MJK @ 8xuYQoCB-e"" folds",2023-06-01T12:00:07.820Z,168562080782000
"""Kitsos @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-06-01T12:00:05.304Z,168562080530405
"""MJK @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-06-01T12:00:05.304Z,168562080530404
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (1944.98) | #6 ""Kitsos @ 4DT3vFeWj1"" (1083.79)",2023-06-01T12:00:05.304Z,168562080530401
"-- starting hand #1440 (id: ad6tobpyj1wt)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-06-01T12:00:05.304Z,168562080530400
"-- ending hand #1439 --",2023-06-01T12:00:02.296Z,168562080229603
"""MJK @ 8xuYQoCB-e"" shows a 3♥, 3♣, A♦, 7♥.",2023-06-01T12:00:02.296Z,168562080229602
"""Kitsos @ 4DT3vFeWj1"" collected 24.00 from pot with Two Pair (combination: Q♦, Q♥, 4♣, 4♠, 9♠)",2023-06-01T12:00:02.296Z,168562080229601
"""Kitsos @ 4DT3vFeWj1"" shows a Q♦, Q♥, 2♠, J♥.",2023-06-01T12:00:02.296Z,168562080229600
"""Kitsos @ 4DT3vFeWj1"" checks",2023-06-01T12:00:01.441Z,168562080144100
"""MJK @ 8xuYQoCB-e"" checks",2023-06-01T12:00:00.523Z,168562080052300
"River: 8♣, 4♣, 6♣, 4♠ [9♠]",2023-06-01T11:59:59.876Z,168562079987600
"""Kitsos @ 4DT3vFeWj1"" checks",2023-06-01T11:59:59.050Z,168562079905000
"""MJK @ 8xuYQoCB-e"" checks",2023-06-01T11:59:57.777Z,168562079777700
"Turn: 8♣, 4♣, 6♣ [4♠]",2023-06-01T11:59:56.874Z,168562079687400
"""Kitsos @ 4DT3vFeWj1"" checks",2023-06-01T11:59:56.065Z,168562079606500
"""MJK @ 8xuYQoCB-e"" checks",2023-06-01T11:59:54.782Z,168562079478200
"Flop:  [8♣, 4♣, 6♣]",2023-06-01T11:59:53.995Z,168562079399500
"""MJK @ 8xuYQoCB-e"" calls 12.00",2023-06-01T11:59:53.149Z,168562079314900
"""Kitsos @ 4DT3vFeWj1"" raises to 12.00",2023-06-01T11:59:52.238Z,168562079223800
"""MJK @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-06-01T11:59:50.118Z,168562079011805
"""Kitsos @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-06-01T11:59:50.118Z,168562079011804
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (1956.98) | #6 ""Kitsos @ 4DT3vFeWj1"" (1071.79)",2023-06-01T11:59:50.118Z,168562079011801
"-- starting hand #1439 (id: zfgkifugcs3h)  (Pot Limit Omaha Hi) (dealer: ""Kitsos @ 4DT3vFeWj1"") --",2023-06-01T11:59:50.118Z,168562079011800
"-- ending hand #1438 --",2023-06-01T11:59:47.192Z,168562078719202
"""MJK @ 8xuYQoCB-e"" collected 8.00 from pot",2023-06-01T11:59:47.192Z,168562078719201
"Uncalled bet of 8.00 returned to ""MJK @ 8xuYQoCB-e""",2023-06-01T11:59:47.192Z,168562078719200
"""Kitsos @ 4DT3vFeWj1"" folds",2023-06-01T11:59:46.319Z,168562078631900
"""MJK @ 8xuYQoCB-e"" raises to 12.00",2023-06-01T11:59:45.040Z,168562078504000
"""Kitsos @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-06-01T11:59:42.918Z,168562078291805
"""MJK @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-06-01T11:59:42.918Z,168562078291804
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (1952.98) | #6 ""Kitsos @ 4DT3vFeWj1"" (1075.79)",2023-06-01T11:59:42.918Z,168562078291801
"-- starting hand #1438 (id: zcf8mejsayux)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-06-01T11:59:42.918Z,168562078291800
"-- ending hand #1437 --",2023-06-01T11:59:39.981Z,168562077998102
"""MJK @ 8xuYQoCB-e"" collected 4.00 from pot",2023-06-01T11:59:39.981Z,168562077998101
"Uncalled bet of 2.00 returned to ""MJK @ 8xuYQoCB-e""",2023-06-01T11:59:39.981Z,168562077998100
"""Kitsos @ 4DT3vFeWj1"" folds",2023-06-01T11:59:39.115Z,168562077911500
"""MJK @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-06-01T11:59:38.022Z,168562077802205
"""Kitsos @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-06-01T11:59:38.022Z,168562077802204
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (1950.98) | #6 ""Kitsos @ 4DT3vFeWj1"" (1077.79)",2023-06-01T11:59:38.022Z,168562077802201
"-- starting hand #1437 (id: x8bmzdqtplwg)  (Pot Limit Omaha Hi) (dealer: ""Kitsos @ 4DT3vFeWj1"") --",2023-06-01T11:59:38.022Z,168562077802200
"-- ending hand #1436 --",2023-06-01T11:59:32.103Z,168562077210302
"""MJK @ 8xuYQoCB-e"" collected 24.00 from pot",2023-06-01T11:59:32.103Z,168562077210301
"Uncalled bet of 12.00 returned to ""MJK @ 8xuYQoCB-e""",2023-06-01T11:59:32.103Z,168562077210300
"""Kitsos @ 4DT3vFeWj1"" folds",2023-06-01T11:59:31.227Z,168562077122700
"""MJK @ 8xuYQoCB-e"" bets 12.00",2023-06-01T11:59:30.246Z,168562077024600
"""Kitsos @ 4DT3vFeWj1"" checks",2023-06-01T11:59:27.467Z,168562076746700
"Flop:  [4♠, A♦, 8♠]",2023-06-01T11:59:25.998Z,168562076599800
"""Kitsos @ 4DT3vFeWj1"" calls 12.00",2023-06-01T11:59:25.183Z,168562076518300
"""MJK @ 8xuYQoCB-e"" raises to 12.00",2023-06-01T11:59:24.210Z,168562076421000
"""Kitsos @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-06-01T11:59:21.597Z,168562076159705
"""MJK @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-06-01T11:59:21.597Z,168562076159704
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (1938.98) | #6 ""Kitsos @ 4DT3vFeWj1"" (1089.79)",2023-06-01T11:59:21.597Z,168562076159701
"-- starting hand #1436 (id: 6iooaqcwafka)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-06-01T11:59:21.597Z,168562076159700
"-- ending hand #1435 --",2023-06-01T11:59:15.683Z,168562075568302
"""MJK @ 8xuYQoCB-e"" collected 60.00 from pot",2023-06-01T11:59:15.683Z,168562075568301
"Uncalled bet of 60.00 returned to ""MJK @ 8xuYQoCB-e""",2023-06-01T11:59:15.683Z,168562075568300
"""Kitsos @ 4DT3vFeWj1"" folds",2023-06-01T11:59:14.838Z,168562075483800
"""MJK @ 8xuYQoCB-e"" raises to 78.00",2023-06-01T11:59:11.828Z,168562075182800
"""Kitsos @ 4DT3vFeWj1"" bets 18.00",2023-06-01T11:59:07.488Z,168562074748800
"""MJK @ 8xuYQoCB-e"" checks",2023-06-01T11:59:04.652Z,168562074465200
"Flop:  [7♠, A♠, 3♥]",2023-06-01T11:59:03.772Z,168562074377200
"""MJK @ 8xuYQoCB-e"" calls 12.00",2023-06-01T11:59:02.932Z,168562074293200
"""Kitsos @ 4DT3vFeWj1"" raises to 12.00",2023-06-01T11:59:01.830Z,168562074183000
"""MJK @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-06-01T11:58:59.474Z,168562073947405
"""Kitsos @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-06-01T11:58:59.474Z,168562073947404
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (1908.98) | #6 ""Kitsos @ 4DT3vFeWj1"" (1119.79)",2023-06-01T11:58:59.474Z,168562073947401
"-- starting hand #1435 (id: ny33mli6xvdq)  (Pot Limit Omaha Hi) (dealer: ""Kitsos @ 4DT3vFeWj1"") --",2023-06-01T11:58:59.474Z,168562073947400
"-- ending hand #1434 --",2023-06-01T11:58:53.566Z,168562073356602
"""MJK @ 8xuYQoCB-e"" collected 24.00 from pot",2023-06-01T11:58:53.566Z,168562073356601
"Uncalled bet of 18.00 returned to ""MJK @ 8xuYQoCB-e""",2023-06-01T11:58:53.566Z,168562073356600
"""Kitsos @ 4DT3vFeWj1"" folds",2023-06-01T11:58:52.724Z,168562073272400
"""MJK @ 8xuYQoCB-e"" bets 18.00",2023-06-01T11:58:51.697Z,168562073169700
"""Kitsos @ 4DT3vFeWj1"" checks",2023-06-01T11:58:48.893Z,168562072889300
"Flop:  [7♣, 5♥, K♣]",2023-06-01T11:58:47.490Z,168562072749000
"""Kitsos @ 4DT3vFeWj1"" calls 12.00",2023-06-01T11:58:46.673Z,168562072667300
"""MJK @ 8xuYQoCB-e"" raises to 12.00",2023-06-01T11:58:45.697Z,168562072569700
"""Kitsos @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-06-01T11:58:43.317Z,168562072331705
"""MJK @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-06-01T11:58:43.317Z,168562072331704
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (1896.98) | #6 ""Kitsos @ 4DT3vFeWj1"" (1131.79)",2023-06-01T11:58:43.317Z,168562072331701
"-- starting hand #1434 (id: b1ou3nxvjgne)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-06-01T11:58:43.317Z,168562072331700
"-- ending hand #1433 --",2023-06-01T11:58:40.336Z,168562072033602
"""Kitsos @ 4DT3vFeWj1"" collected 8.00 from pot",2023-06-01T11:58:40.336Z,168562072033601
"Uncalled bet of 8.00 returned to ""Kitsos @ 4DT3vFeWj1""",2023-06-01T11:58:40.336Z,168562072033600
"""MJK @ 8xuYQoCB-e"" folds",2023-06-01T11:58:39.495Z,168562071949500
"""Kitsos @ 4DT3vFeWj1"" raises to 12.00",2023-06-01T11:58:37.592Z,168562071759200
"""MJK @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-06-01T11:58:35.279Z,168562071527905
"""Kitsos @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-06-01T11:58:35.279Z,168562071527904
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (1900.98) | #6 ""Kitsos @ 4DT3vFeWj1"" (1127.79)",2023-06-01T11:58:35.279Z,168562071527901
"-- starting hand #1433 (id: gtqiqsplinn0)  (Pot Limit Omaha Hi) (dealer: ""Kitsos @ 4DT3vFeWj1"") --",2023-06-01T11:58:35.279Z,168562071527900
"""MJK @ 8xuYQoCB-e"" shows a 7♥, 10♥, 2♠, K♥.",2023-06-01T11:58:33.246Z,168562071324600
"-- ending hand #1432 --",2023-06-01T11:58:31.467Z,168562071146702
"""Kitsos @ 4DT3vFeWj1"" collected 60.00 from pot with Straight (combination: A♠, K♠, Q♣, J♦, 10♣)",2023-06-01T11:58:31.467Z,168562071146701
"""Kitsos @ 4DT3vFeWj1"" shows a 5♣, A♠, J♦, Q♦.",2023-06-01T11:58:31.467Z,168562071146700
"""MJK @ 8xuYQoCB-e"" checks",2023-06-01T11:58:30.619Z,168562071061900
"""Kitsos @ 4DT3vFeWj1"" checks",2023-06-01T11:58:29.697Z,168562070969700
"River: Q♣, 9♣, J♥, 10♣ [K♠]",2023-06-01T11:58:27.464Z,168562070746400
"""MJK @ 8xuYQoCB-e"" checks",2023-06-01T11:58:26.594Z,168562070659400
"""Kitsos @ 4DT3vFeWj1"" checks",2023-06-01T11:58:24.366Z,168562070436600
"Turn: Q♣, 9♣, J♥ [10♣]",2023-06-01T11:58:22.717Z,168562070271700
"""Kitsos @ 4DT3vFeWj1"" calls 18.00",2023-06-01T11:58:21.850Z,168562070185000
"""MJK @ 8xuYQoCB-e"" bets 18.00",2023-06-01T11:58:19.951Z,168562069995100
"""Kitsos @ 4DT3vFeWj1"" checks",2023-06-01T11:58:17.130Z,168562069713000
"Flop:  [Q♣, 9♣, J♥]",2023-06-01T11:58:15.840Z,168562069584000
"""Kitsos @ 4DT3vFeWj1"" calls 12.00",2023-06-01T11:58:15.030Z,168562069503000
"""MJK @ 8xuYQoCB-e"" raises to 12.00",2023-06-01T11:58:14.087Z,168562069408700
"""Kitsos @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-06-01T11:58:11.634Z,168562069163405
"""MJK @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-06-01T11:58:11.634Z,168562069163404
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (1930.98) | #6 ""Kitsos @ 4DT3vFeWj1"" (1097.79)",2023-06-01T11:58:11.634Z,168562069163401
"-- starting hand #1432 (id: xuptoxa6sse9)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-06-01T11:58:11.634Z,168562069163400
"-- ending hand #1431 --",2023-06-01T11:58:08.730Z,168562068873002
"""MJK @ 8xuYQoCB-e"" collected 4.00 from pot",2023-06-01T11:58:08.730Z,168562068873001
"Uncalled bet of 2.00 returned to ""MJK @ 8xuYQoCB-e""",2023-06-01T11:58:08.730Z,168562068873000
"""Kitsos @ 4DT3vFeWj1"" folds",2023-06-01T11:58:07.921Z,168562068792100
"""MJK @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-06-01T11:58:06.830Z,168562068683005
"""Kitsos @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-06-01T11:58:06.830Z,168562068683004
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (1928.98) | #6 ""Kitsos @ 4DT3vFeWj1"" (1099.79)",2023-06-01T11:58:06.830Z,168562068683001
"-- starting hand #1431 (id: clylpt9gxf3x)  (Pot Limit Omaha Hi) (dealer: ""Kitsos @ 4DT3vFeWj1"") --",2023-06-01T11:58:06.830Z,168562068683000
"-- ending hand #1430 --",2023-06-01T11:58:03.826Z,168562068382602
"""Kitsos @ 4DT3vFeWj1"" collected 4.00 from pot",2023-06-01T11:58:03.826Z,168562068382601
"Uncalled bet of 2.00 returned to ""Kitsos @ 4DT3vFeWj1""",2023-06-01T11:58:03.826Z,168562068382600
"""MJK @ 8xuYQoCB-e"" folds",2023-06-01T11:58:02.947Z,168562068294700
"""Kitsos @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-06-01T11:58:01.523Z,168562068152305
"""MJK @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-06-01T11:58:01.523Z,168562068152304
"Player stacks: #2 ""MJK @ 8xuYQoCB-e"" (1930.98) | #6 ""Kitsos @ 4DT3vFeWj1"" (1097.79)",2023-06-01T11:58:01.523Z,168562068152301
"-- starting hand #1430 (id: kasb5tiogmvz)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-06-01T11:58:01.523Z,168562068152300
"-- ending hand #1429 --",2023-06-01T11:57:55.617Z,168562067561702
"""Kitsos @ 4DT3vFeWj1"" collected 24.00 from pot",2023-06-01T11:57:55.617Z,168562067561701
"Uncalled bet of 18.00 returned to ""Kitsos @ 4DT3vFeWj1""",2023-06-01T11:57:55.617Z,168562067561700
"""MJK @ 8xuYQoCB-e"" folds",2023-06-01T11:57:54.774Z,168562067477400
