entry,at,order
"The player ""Gill iPad @ rBxx2OqQ80"" stand up with the stack of 626.85.",2023-05-30T07:11:13.147Z,168543067314700
"-- ending hand #206 --",2023-05-30T07:11:07.149Z,168543066714902
"""Hayden @ 2LakBwr16r"" collected 2.00 from pot",2023-05-30T07:11:07.149Z,168543066714901
"Uncalled bet of 2.00 returned to ""Hayden @ 2LakBwr16r""",2023-05-30T07:11:07.149Z,168543066714900
"""Gill iPad @ rBxx2OqQ80"" folds",2023-05-30T07:11:06.325Z,168543066632500
"""Hayden @ 2LakBwr16r"" posts a big blind of 3.00",2023-05-30T07:11:04.245Z,168543066424505
"""Gill iPad @ rBxx2OqQ80"" posts a small blind of 1.00",2023-05-30T07:11:04.245Z,168543066424504
"Player stacks: #1 ""Hayden @ 2LakBwr16r"" (600.50) | #7 ""Gill iPad @ rBxx2OqQ80"" (627.85)",2023-05-30T07:11:04.245Z,168543066424501
"-- starting hand #206 (id: gfuz0bziaqe7)  (No Limit Texas Hold'em) (dealer: ""Gill iPad @ rBxx2OqQ80"") --",2023-05-30T07:11:04.245Z,168543066424500
"-- ending hand #205 --",2023-05-30T07:11:01.245Z,168543066124502
"""Gill iPad @ rBxx2OqQ80"" collected 36.00 from pot",2023-05-30T07:11:01.245Z,168543066124501
"Uncalled bet of 18.00 returned to ""Gill iPad @ rBxx2OqQ80""",2023-05-30T07:11:01.245Z,168543066124500
"""Hayden @ 2LakBwr16r"" folds",2023-05-30T07:11:00.340Z,168543066034000
"""Gill iPad @ rBxx2OqQ80"" bets 18.00",2023-05-30T07:10:59.102Z,168543065910200
"River: 9♦, A♣, 4♣, J♦ [4♠]",2023-05-30T07:10:49.313Z,168543064931300
"""Hayden @ 2LakBwr16r"" checks",2023-05-30T07:10:48.502Z,168543064850200
"""Gill iPad @ rBxx2OqQ80"" checks",2023-05-30T07:10:45.596Z,168543064559600
"Turn: 9♦, A♣, 4♣ [J♦]",2023-05-30T07:10:44.084Z,168543064408400
"""Gill iPad @ rBxx2OqQ80"" calls 9.00",2023-05-30T07:10:43.240Z,168543064324000
"""Hayden @ 2LakBwr16r"" bets 9.00",2023-05-30T07:10:41.467Z,168543064146700
"""Gill iPad @ rBxx2OqQ80"" checks",2023-05-30T07:10:38.661Z,168543063866100
"Flop:  [9♦, A♣, 4♣]",2023-05-30T07:10:37.503Z,168543063750300
"""Gill iPad @ rBxx2OqQ80"" calls 9.00",2023-05-30T07:10:36.687Z,168543063668700
"""Hayden @ 2LakBwr16r"" raises to 9.00",2023-05-30T07:10:28.823Z,168543062882300
"""Gill iPad @ rBxx2OqQ80"" posts a big blind of 3.00",2023-05-30T07:10:26.805Z,168543062680505
"""Hayden @ 2LakBwr16r"" posts a small blind of 1.00",2023-05-30T07:10:26.805Z,168543062680504
"Player stacks: #1 ""Hayden @ 2LakBwr16r"" (618.50) | #7 ""Gill iPad @ rBxx2OqQ80"" (609.85)",2023-05-30T07:10:26.805Z,168543062680501
"-- starting hand #205 (id: 61pogxhulpzo)  (No Limit Texas Hold'em) (dealer: ""Hayden @ 2LakBwr16r"") --",2023-05-30T07:10:26.805Z,168543062680500
"-- ending hand #204 --",2023-05-30T07:10:20.897Z,168543062089702
"""Hayden @ 2LakBwr16r"" collected 2.00 from pot",2023-05-30T07:10:20.897Z,168543062089701
"Uncalled bet of 2.00 returned to ""Hayden @ 2LakBwr16r""",2023-05-30T07:10:20.897Z,168543062089700
"""Gill iPad @ rBxx2OqQ80"" folds",2023-05-30T07:10:20.069Z,168543062006900
"""Hayden @ 2LakBwr16r"" posts a big blind of 3.00",2023-05-30T07:10:18.796Z,168543061879605
"""Gill iPad @ rBxx2OqQ80"" posts a small blind of 1.00",2023-05-30T07:10:18.796Z,168543061879604
"Player stacks: #1 ""Hayden @ 2LakBwr16r"" (617.50) | #7 ""Gill iPad @ rBxx2OqQ80"" (610.85)",2023-05-30T07:10:18.796Z,168543061879601
"-- starting hand #204 (id: vtbyr8coo5mv)  (No Limit Texas Hold'em) (dealer: ""Gill iPad @ rBxx2OqQ80"") --",2023-05-30T07:10:18.796Z,168543061879600
"-- ending hand #203 --",2023-05-30T07:10:12.885Z,168543061288502
"""Gill iPad @ rBxx2OqQ80"" collected 18.00 from pot",2023-05-30T07:10:12.885Z,168543061288501
"Uncalled bet of 24.00 returned to ""Gill iPad @ rBxx2OqQ80""",2023-05-30T07:10:12.885Z,168543061288500
"""Hayden @ 2LakBwr16r"" folds",2023-05-30T07:10:12.081Z,168543061208100
"""Gill iPad @ rBxx2OqQ80"" raises to 33.00",2023-05-30T07:10:10.256Z,168543061025600
"""Hayden @ 2LakBwr16r"" raises to 9.00",2023-05-30T07:10:04.433Z,168543060443300
"""Gill iPad @ rBxx2OqQ80"" posts a big blind of 3.00",2023-05-30T07:10:02.354Z,168543060235405
"""Hayden @ 2LakBwr16r"" posts a small blind of 1.00",2023-05-30T07:10:02.354Z,168543060235404
"Player stacks: #1 ""Hayden @ 2LakBwr16r"" (626.50) | #7 ""Gill iPad @ rBxx2OqQ80"" (601.85)",2023-05-30T07:10:02.354Z,168543060235401
"-- starting hand #203 (id: a1uukabydyyb)  (No Limit Texas Hold'em) (dealer: ""Hayden @ 2LakBwr16r"") --",2023-05-30T07:10:02.354Z,168543060235400
"-- ending hand #202 --",2023-05-30T07:09:56.429Z,168543059642902
"""Hayden @ 2LakBwr16r"" collected 30.00 from pot",2023-05-30T07:09:56.429Z,168543059642901
"Uncalled bet of 20.50 returned to ""Hayden @ 2LakBwr16r""",2023-05-30T07:09:56.429Z,168543059642900
"""Gill iPad @ rBxx2OqQ80"" folds",2023-05-30T07:09:55.534Z,168543059553400
"""Hayden @ 2LakBwr16r"" raises to 28.00",2023-05-30T07:09:51.131Z,168543059113100
"""Gill iPad @ rBxx2OqQ80"" bets 7.50",2023-05-30T07:09:48.096Z,168543058809600
"""Hayden @ 2LakBwr16r"" checks",2023-05-30T07:09:44.984Z,168543058498400
"Flop:  [7♥, 9♠, 9♥]",2023-05-30T07:09:43.526Z,168543058352600
"""Hayden @ 2LakBwr16r"" calls 7.50",2023-05-30T07:09:42.707Z,168543058270700
"""Gill iPad @ rBxx2OqQ80"" raises to 7.50",2023-05-30T07:09:41.695Z,168543058169500
"""Hayden @ 2LakBwr16r"" posts a big blind of 3.00",2023-05-30T07:09:38.909Z,168543057890905
"""Gill iPad @ rBxx2OqQ80"" posts a small blind of 1.00",2023-05-30T07:09:38.909Z,168543057890904
"Player stacks: #1 ""Hayden @ 2LakBwr16r"" (611.50) | #7 ""Gill iPad @ rBxx2OqQ80"" (616.85)",2023-05-30T07:09:38.909Z,168543057890901
"-- starting hand #202 (id: 9wsjtqehskh6)  (No Limit Texas Hold'em) (dealer: ""Gill iPad @ rBxx2OqQ80"") --",2023-05-30T07:09:38.909Z,168543057890900
"-- ending hand #201 --",2023-05-30T07:09:33.002Z,168543057300202
"""Gill iPad @ rBxx2OqQ80"" collected 18.00 from pot",2023-05-30T07:09:33.002Z,168543057300201
"Uncalled bet of 19.50 returned to ""Gill iPad @ rBxx2OqQ80""",2023-05-30T07:09:33.002Z,168543057300200
"""Hayden @ 2LakBwr16r"" folds",2023-05-30T07:09:32.111Z,168543057211100
"""Gill iPad @ rBxx2OqQ80"" raises to 28.50",2023-05-30T07:09:30.603Z,168543057060300
"""Hayden @ 2LakBwr16r"" raises to 9.00",2023-05-30T07:09:26.430Z,168543056643000
"""Gill iPad @ rBxx2OqQ80"" posts a big blind of 3.00",2023-05-30T07:09:24.390Z,168543056439005
"""Hayden @ 2LakBwr16r"" posts a small blind of 1.00",2023-05-30T07:09:24.390Z,168543056439004
"Player stacks: #1 ""Hayden @ 2LakBwr16r"" (620.50) | #7 ""Gill iPad @ rBxx2OqQ80"" (607.85)",2023-05-30T07:09:24.390Z,168543056439001
"-- starting hand #201 (id: dccvrtdegehw)  (No Limit Texas Hold'em) (dealer: ""Hayden @ 2LakBwr16r"") --",2023-05-30T07:09:24.390Z,168543056439000
"-- ending hand #200 --",2023-05-30T07:09:18.386Z,168543055838602
"""Hayden @ 2LakBwr16r"" collected 2.00 from pot",2023-05-30T07:09:18.386Z,168543055838601
"Uncalled bet of 2.00 returned to ""Hayden @ 2LakBwr16r""",2023-05-30T07:09:18.386Z,168543055838600
"""Gill iPad @ rBxx2OqQ80"" folds",2023-05-30T07:09:17.505Z,168543055750500
"""Hayden @ 2LakBwr16r"" posts a big blind of 3.00",2023-05-30T07:09:16.185Z,168543055618505
"""Gill iPad @ rBxx2OqQ80"" posts a small blind of 1.00",2023-05-30T07:09:16.185Z,168543055618504
"Player stacks: #1 ""Hayden @ 2LakBwr16r"" (619.50) | #7 ""Gill iPad @ rBxx2OqQ80"" (608.85)",2023-05-30T07:09:16.185Z,168543055618501
"-- starting hand #200 (id: ffinq0axqzsc)  (No Limit Texas Hold'em) (dealer: ""Gill iPad @ rBxx2OqQ80"") --",2023-05-30T07:09:16.185Z,168543055618500
"-- ending hand #199 --",2023-05-30T07:09:10.182Z,168543055018202
"""Gill iPad @ rBxx2OqQ80"" collected 2.00 from pot",2023-05-30T07:09:10.182Z,168543055018201
"Uncalled bet of 2.00 returned to ""Gill iPad @ rBxx2OqQ80""",2023-05-30T07:09:10.182Z,168543055018200
"""Hayden @ 2LakBwr16r"" folds",2023-05-30T07:09:09.299Z,168543054929900
"""Gill iPad @ rBxx2OqQ80"" posts a big blind of 3.00",2023-05-30T07:09:08.081Z,168543054808105
"""Hayden @ 2LakBwr16r"" posts a small blind of 1.00",2023-05-30T07:09:08.081Z,168543054808104
"Player stacks: #1 ""Hayden @ 2LakBwr16r"" (620.50) | #7 ""Gill iPad @ rBxx2OqQ80"" (607.85)",2023-05-30T07:09:08.081Z,168543054808101
"-- starting hand #199 (id: 7hwqi7a9eeyi)  (No Limit Texas Hold'em) (dealer: ""Hayden @ 2LakBwr16r"") --",2023-05-30T07:09:08.081Z,168543054808100
"-- ending hand #198 --",2023-05-30T07:09:02.178Z,168543054217802
"""Hayden @ 2LakBwr16r"" collected 6.00 from pot",2023-05-30T07:09:02.178Z,168543054217801
"Uncalled bet of 3.00 returned to ""Hayden @ 2LakBwr16r""",2023-05-30T07:09:02.178Z,168543054217800
"""Gill iPad @ rBxx2OqQ80"" folds",2023-05-30T07:09:01.334Z,168543054133400
"""Hayden @ 2LakBwr16r"" bets 3.00",2023-05-30T07:08:59.113Z,168543053911300
"Flop:  [5♠, Q♣, 6♣]",2023-05-30T07:08:55.569Z,168543053556900
"""Hayden @ 2LakBwr16r"" checks",2023-05-30T07:08:54.753Z,168543053475300
"""Gill iPad @ rBxx2OqQ80"" calls 3.00",2023-05-30T07:08:53.497Z,168543053349700
"""Hayden @ 2LakBwr16r"" posts a big blind of 3.00",2023-05-30T07:08:52.568Z,168543053256805
"""Gill iPad @ rBxx2OqQ80"" posts a small blind of 1.00",2023-05-30T07:08:52.568Z,168543053256804
"Player stacks: #1 ""Hayden @ 2LakBwr16r"" (617.50) | #7 ""Gill iPad @ rBxx2OqQ80"" (610.85)",2023-05-30T07:08:52.568Z,168543053256801
"-- starting hand #198 (id: 3tcqv1fobfyp)  (No Limit Texas Hold'em) (dealer: ""Gill iPad @ rBxx2OqQ80"") --",2023-05-30T07:08:52.568Z,168543053256800
"-- ending hand #197 --",2023-05-30T07:08:46.660Z,168543052666002
"""Hayden @ 2LakBwr16r"" collected 30.00 from pot",2023-05-30T07:08:46.660Z,168543052666001
"Uncalled bet of 20.00 returned to ""Hayden @ 2LakBwr16r""",2023-05-30T07:08:46.660Z,168543052666000
"""Gill iPad @ rBxx2OqQ80"" folds",2023-05-30T07:08:45.846Z,168543052584600
"""Hayden @ 2LakBwr16r"" bets 20.00",2023-05-30T07:08:44.687Z,168543052468700
"""Gill iPad @ rBxx2OqQ80"" checks",2023-05-30T07:08:39.768Z,168543051976800
"Turn: 8♦, 4♥, 4♣ [3♠]",2023-05-30T07:08:38.755Z,168543051875500
"""Gill iPad @ rBxx2OqQ80"" calls 6.00",2023-05-30T07:08:37.927Z,168543051792700
"""Hayden @ 2LakBwr16r"" bets 6.00",2023-05-30T07:08:36.177Z,168543051617700
"""Gill iPad @ rBxx2OqQ80"" checks",2023-05-30T07:08:33.156Z,168543051315600
"Flop:  [8♦, 4♥, 4♣]",2023-05-30T07:08:31.908Z,168543051190800
"""Gill iPad @ rBxx2OqQ80"" calls 9.00",2023-05-30T07:08:31.065Z,168543051106500
"""Hayden @ 2LakBwr16r"" raises to 9.00",2023-05-30T07:08:28.915Z,168543050891500
"""Gill iPad @ rBxx2OqQ80"" posts a big blind of 3.00",2023-05-30T07:08:26.307Z,168543050630705
"""Hayden @ 2LakBwr16r"" posts a small blind of 1.00",2023-05-30T07:08:26.307Z,168543050630704
"Player stacks: #1 ""Hayden @ 2LakBwr16r"" (602.50) | #7 ""Gill iPad @ rBxx2OqQ80"" (625.85)",2023-05-30T07:08:26.307Z,168543050630701
"-- starting hand #197 (id: grtzpbklzu6d)  (No Limit Texas Hold'em) (dealer: ""Hayden @ 2LakBwr16r"") --",2023-05-30T07:08:26.307Z,168543050630700
"-- ending hand #196 --",2023-05-30T07:08:20.380Z,168543050038002
"""Hayden @ 2LakBwr16r"" collected 2.00 from pot",2023-05-30T07:08:20.380Z,168543050038001
"Uncalled bet of 2.00 returned to ""Hayden @ 2LakBwr16r""",2023-05-30T07:08:20.380Z,168543050038000
"""Gill iPad @ rBxx2OqQ80"" folds",2023-05-30T07:08:19.528Z,168543049952800
"""Hayden @ 2LakBwr16r"" posts a big blind of 3.00",2023-05-30T07:08:17.679Z,168543049767905
"""Gill iPad @ rBxx2OqQ80"" posts a small blind of 1.00",2023-05-30T07:08:17.679Z,168543049767904
"Player stacks: #1 ""Hayden @ 2LakBwr16r"" (601.50) | #7 ""Gill iPad @ rBxx2OqQ80"" (626.85)",2023-05-30T07:08:17.679Z,168543049767901
"-- starting hand #196 (id: oly4ldoluqfk)  (No Limit Texas Hold'em) (dealer: ""Gill iPad @ rBxx2OqQ80"") --",2023-05-30T07:08:17.679Z,168543049767900
"-- ending hand #195 --",2023-05-30T07:08:11.770Z,168543049177002
"""Gill iPad @ rBxx2OqQ80"" collected 2.00 from pot",2023-05-30T07:08:11.770Z,168543049177001
"Uncalled bet of 2.00 returned to ""Gill iPad @ rBxx2OqQ80""",2023-05-30T07:08:11.770Z,168543049177000
"""Hayden @ 2LakBwr16r"" folds",2023-05-30T07:08:10.951Z,168543049095100
"""Gill iPad @ rBxx2OqQ80"" posts a big blind of 3.00",2023-05-30T07:08:09.813Z,168543048981305
"""Hayden @ 2LakBwr16r"" posts a small blind of 1.00",2023-05-30T07:08:09.813Z,168543048981304
"Player stacks: #1 ""Hayden @ 2LakBwr16r"" (602.50) | #7 ""Gill iPad @ rBxx2OqQ80"" (625.85)",2023-05-30T07:08:09.813Z,168543048981301
"-- starting hand #195 (id: rj3cryyxprer)  (No Limit Texas Hold'em) (dealer: ""Hayden @ 2LakBwr16r"") --",2023-05-30T07:08:09.813Z,168543048981300
"-- ending hand #194 --",2023-05-30T07:08:03.875Z,168543048387502
"""Hayden @ 2LakBwr16r"" collected 2.00 from pot",2023-05-30T07:08:03.875Z,168543048387501
"Uncalled bet of 2.00 returned to ""Hayden @ 2LakBwr16r""",2023-05-30T07:08:03.875Z,168543048387500
"""Gill iPad @ rBxx2OqQ80"" folds",2023-05-30T07:08:03.063Z,168543048306300
"""Hayden @ 2LakBwr16r"" posts a big blind of 3.00",2023-05-30T07:08:01.868Z,168543048186805
"""Gill iPad @ rBxx2OqQ80"" posts a small blind of 1.00",2023-05-30T07:08:01.868Z,168543048186804
"Player stacks: #1 ""Hayden @ 2LakBwr16r"" (601.50) | #7 ""Gill iPad @ rBxx2OqQ80"" (626.85)",2023-05-30T07:08:01.868Z,168543048186801
"-- starting hand #194 (id: 9eydlas4ddkr)  (No Limit Texas Hold'em) (dealer: ""Gill iPad @ rBxx2OqQ80"") --",2023-05-30T07:08:01.868Z,168543048186800
"""Gill iPad @ rBxx2OqQ80"" shows a J♦, 2♦.",2023-05-30T07:07:59.270Z,168543047927000
"-- ending hand #193 --",2023-05-30T07:07:58.247Z,168543047824702
"""Gill iPad @ rBxx2OqQ80"" collected 162.00 from pot",2023-05-30T07:07:58.247Z,168543047824701
"Uncalled bet of 75.00 returned to ""Gill iPad @ rBxx2OqQ80""",2023-05-30T07:07:58.247Z,168543047824700
"""Hayden @ 2LakBwr16r"" folds",2023-05-30T07:07:57.412Z,168543047741200
"""Gill iPad @ rBxx2OqQ80"" bets 75.00",2023-05-30T07:07:53.603Z,168543047360300
"River: 7♦, 10♠, 8♦, Q♦ [6♦]",2023-05-30T07:07:46.944Z,168543046694400
"""Hayden @ 2LakBwr16r"" calls 45.00",2023-05-30T07:07:46.087Z,168543046608700
"""Gill iPad @ rBxx2OqQ80"" bets 45.00",2023-05-30T07:07:42.457Z,168543046245700
"Turn: 7♦, 10♠, 8♦ [Q♦]",2023-05-30T07:07:35.734Z,168543045573400
"""Hayden @ 2LakBwr16r"" calls 27.00",2023-05-30T07:07:34.844Z,168543045484400
"""Gill iPad @ rBxx2OqQ80"" raises to 27.00",2023-05-30T07:07:30.777Z,168543045077700
"""Hayden @ 2LakBwr16r"" bets 9.00",2023-05-30T07:07:22.900Z,168543044290000
"""Gill iPad @ rBxx2OqQ80"" checks",2023-05-30T07:07:20.467Z,168543044046700
"Flop:  [7♦, 10♠, 8♦]",2023-05-30T07:07:19.318Z,168543043931800
"""Gill iPad @ rBxx2OqQ80"" calls 9.00",2023-05-30T07:07:18.456Z,168543043845600
"""Hayden @ 2LakBwr16r"" raises to 9.00",2023-05-30T07:07:17.159Z,168543043715900
"""Gill iPad @ rBxx2OqQ80"" posts a big blind of 3.00",2023-05-30T07:07:15.114Z,168543043511405
"""Hayden @ 2LakBwr16r"" posts a small blind of 1.00",2023-05-30T07:07:15.114Z,168543043511404
"Player stacks: #1 ""Hayden @ 2LakBwr16r"" (682.50) | #7 ""Gill iPad @ rBxx2OqQ80"" (545.85)",2023-05-30T07:07:15.114Z,168543043511401
"-- starting hand #193 (id: iqutcf5kcakl)  (No Limit Texas Hold'em) (dealer: ""Hayden @ 2LakBwr16r"") --",2023-05-30T07:07:15.114Z,168543043511400
"-- ending hand #192 --",2023-05-30T07:07:09.106Z,168543042910602
"""Hayden @ 2LakBwr16r"" collected 2.00 from pot",2023-05-30T07:07:09.106Z,168543042910601
"Uncalled bet of 2.00 returned to ""Hayden @ 2LakBwr16r""",2023-05-30T07:07:09.106Z,168543042910600
"""Gill iPad @ rBxx2OqQ80"" folds",2023-05-30T07:07:08.224Z,168543042822400
"""Hayden @ 2LakBwr16r"" posts a big blind of 3.00",2023-05-30T07:07:06.705Z,168543042670506
"""Gill iPad @ rBxx2OqQ80"" posts a small blind of 1.00",2023-05-30T07:07:06.705Z,168543042670505
"Player stacks: #1 ""Hayden @ 2LakBwr16r"" (681.50) | #7 ""Gill iPad @ rBxx2OqQ80"" (546.85)",2023-05-30T07:07:06.705Z,168543042670502
"-- starting hand #192 (id: pkzhhd1emaxi)  (No Limit Texas Hold'em) (dealer: ""Gill iPad @ rBxx2OqQ80"") --",2023-05-30T07:07:06.705Z,168543042670501
"The player ""Kalp @ IjZYxWfJf8"" stand up with the stack of 1060.75.",2023-05-30T07:07:06.705Z,168543042670500
"-- ending hand #191 --",2023-05-30T07:07:00.700Z,168543042070002
"""Hayden @ 2LakBwr16r"" collected 2.00 from pot",2023-05-30T07:07:00.700Z,168543042070001
"Uncalled bet of 2.00 returned to ""Hayden @ 2LakBwr16r""",2023-05-30T07:07:00.700Z,168543042070000
"""Gill iPad @ rBxx2OqQ80"" folds",2023-05-30T07:06:59.826Z,168543041982600
"""Kalp @ IjZYxWfJf8"" folds",2023-05-30T07:06:57.919Z,168543041791900
"""Hayden @ 2LakBwr16r"" posts a big blind of 3.00",2023-05-30T07:06:55.816Z,168543041581606
"""Gill iPad @ rBxx2OqQ80"" posts a small blind of 1.00",2023-05-30T07:06:55.816Z,168543041581605
"Player stacks: #1 ""Hayden @ 2LakBwr16r"" (680.50) | #3 ""Kalp @ IjZYxWfJf8"" (1060.75) | #7 ""Gill iPad @ rBxx2OqQ80"" (547.85)",2023-05-30T07:06:55.816Z,168543041581601
"-- starting hand #191 (id: u0r0hzgyjetl)  (No Limit Texas Hold'em) (dealer: ""Kalp @ IjZYxWfJf8"") --",2023-05-30T07:06:55.816Z,168543041581600
"-- ending hand #190 --",2023-05-30T07:06:52.894Z,168543041289402
"""Gill iPad @ rBxx2OqQ80"" collected 43.00 from pot",2023-05-30T07:06:52.894Z,168543041289401
"Uncalled bet of 21.50 returned to ""Gill iPad @ rBxx2OqQ80""",2023-05-30T07:06:52.894Z,168543041289400
"""Hayden @ 2LakBwr16r"" folds",2023-05-30T07:06:52.047Z,168543041204700
"""Gill iPad @ rBxx2OqQ80"" bets 21.50",2023-05-30T07:06:50.803Z,168543041080300
"River: K♣, 9♥, A♥, J♥ [Q♠]",2023-05-30T07:06:38.884Z,168543039888400
"""Hayden @ 2LakBwr16r"" checks",2023-05-30T07:06:38.065Z,168543039806500
"""Gill iPad @ rBxx2OqQ80"" checks",2023-05-30T07:06:30.485Z,168543039048500
"Turn: K♣, 9♥, A♥ [J♥]",2023-05-30T07:06:26.867Z,168543038686700
"""Gill iPad @ rBxx2OqQ80"" calls 12.00",2023-05-30T07:06:25.996Z,168543038599600
"""Hayden @ 2LakBwr16r"" bets 12.00",2023-05-30T07:06:23.678Z,168543038367800
"""Gill iPad @ rBxx2OqQ80"" checks",2023-05-30T07:06:20.406Z,168543038040600
"Flop:  [K♣, 9♥, A♥]",2023-05-30T07:06:18.729Z,168543037872900
"""Gill iPad @ rBxx2OqQ80"" calls 9.00",2023-05-30T07:06:17.921Z,168543037792100
"""Kalp @ IjZYxWfJf8"" folds",2023-05-30T07:06:16.684Z,168543037668400
"""Hayden @ 2LakBwr16r"" raises to 9.00",2023-05-30T07:06:01.743Z,168543036174300
"""Gill iPad @ rBxx2OqQ80"" posts a big blind of 3.00",2023-05-30T07:05:59.352Z,168543035935207
"""Kalp @ IjZYxWfJf8"" posts a small blind of 1.00",2023-05-30T07:05:59.352Z,168543035935206
"Player stacks: #1 ""Hayden @ 2LakBwr16r"" (701.50) | #3 ""Kalp @ IjZYxWfJf8"" (1061.75) | #7 ""Gill iPad @ rBxx2OqQ80"" (525.85)",2023-05-30T07:05:59.352Z,168543035935202
"-- starting hand #190 (id: ng5nhrfrjykf)  (No Limit Texas Hold'em) (dealer: ""Hayden @ 2LakBwr16r"") --",2023-05-30T07:05:59.352Z,168543035935201
"The player ""Sushi @ 3f91MMrAMb"" stand up with the stack of 323.75.",2023-05-30T07:05:59.352Z,168543035935200
"-- ending hand #189 --",2023-05-30T07:05:53.412Z,168543035341202
"""Gill iPad @ rBxx2OqQ80"" collected 17.50 from pot",2023-05-30T07:05:53.412Z,168543035341201
"Uncalled bet of 8.75 returned to ""Gill iPad @ rBxx2OqQ80""",2023-05-30T07:05:53.412Z,168543035341200
"""Kalp @ IjZYxWfJf8"" folds",2023-05-30T07:05:52.552Z,168543035255200
"""Gill iPad @ rBxx2OqQ80"" bets 8.75",2023-05-30T07:05:50.941Z,168543035094100
"""Kalp @ IjZYxWfJf8"" checks",2023-05-30T07:05:46.359Z,168543034635900
"Flop:  [10♣, A♠, J♣]",2023-05-30T07:05:44.340Z,168543034434000
"""Kalp @ IjZYxWfJf8"" calls 8.25",2023-05-30T07:05:43.531Z,168543034353100
"""Hayden @ 2LakBwr16r"" folds",2023-05-30T07:05:40.299Z,168543034029900
"""Sushi @ 3f91MMrAMb"" folds",2023-05-30T07:05:39.313Z,168543033931300
"""Gill iPad @ rBxx2OqQ80"" raises to 8.25",2023-05-30T07:05:38.130Z,168543033813000
"""Kalp @ IjZYxWfJf8"" posts a big blind of 3.00",2023-05-30T07:05:34.593Z,168543033459307
"""Hayden @ 2LakBwr16r"" posts a small blind of 1.00",2023-05-30T07:05:34.593Z,168543033459306
"Player stacks: #1 ""Hayden @ 2LakBwr16r"" (702.50) | #3 ""Kalp @ IjZYxWfJf8"" (1070.00) | #7 ""Gill iPad @ rBxx2OqQ80"" (516.60) | #9 ""Sushi @ 3f91MMrAMb"" (323.75)",2023-05-30T07:05:34.593Z,168543033459301
"-- starting hand #189 (id: nhp9vmfctygl)  (No Limit Texas Hold'em) (dealer: ""Sushi @ 3f91MMrAMb"") --",2023-05-30T07:05:34.593Z,168543033459300
"""Sushi @ 3f91MMrAMb"" shows a K♠, K♦.",2023-05-30T07:05:32.053Z,168543033205300
"-- ending hand #188 --",2023-05-30T07:05:27.986Z,168543032798602
"""Sushi @ 3f91MMrAMb"" collected 18.00 from pot",2023-05-30T07:05:27.986Z,168543032798601
"Uncalled bet of 9.00 returned to ""Sushi @ 3f91MMrAMb""",2023-05-30T07:05:27.986Z,168543032798600
"""Hayden @ 2LakBwr16r"" folds",2023-05-30T07:05:27.151Z,168543032715100
"""Sushi @ 3f91MMrAMb"" bets 9.00",2023-05-30T07:05:25.271Z,168543032527100
"Flop:  [Q♥, 3♠, 7♠]",2023-05-30T07:05:22.784Z,168543032278400
"""Hayden @ 2LakBwr16r"" calls 9.00",2023-05-30T07:05:21.907Z,168543032190700
"""Sushi @ 3f91MMrAMb"" raises to 9.00",2023-05-30T07:05:20.222Z,168543032022200
"""Gill iPad @ rBxx2OqQ80"" folds",2023-05-30T07:05:16.201Z,168543031620100
"""Kalp @ IjZYxWfJf8"" folds",2023-05-30T07:05:15.213Z,168543031521300
"""Hayden @ 2LakBwr16r"" posts a big blind of 3.00",2023-05-30T07:05:13.496Z,168543031349608
"""Sushi @ 3f91MMrAMb"" posts a small blind of 1.00",2023-05-30T07:05:13.496Z,168543031349607
"Player stacks: #1 ""Hayden @ 2LakBwr16r"" (711.50) | #3 ""Kalp @ IjZYxWfJf8"" (1070.00) | #7 ""Gill iPad @ rBxx2OqQ80"" (516.60) | #9 ""Sushi @ 3f91MMrAMb"" (314.75)",2023-05-30T07:05:13.496Z,168543031349602
"-- starting hand #188 (id: a5nnretzihcp)  (No Limit Texas Hold'em) (dead button) --",2023-05-30T07:05:13.496Z,168543031349601
"The player ""Phil @ JZNV0izPqn"" quits the game with a stack of 479.14.",2023-05-30T07:05:13.496Z,168543031349600
"""Kalp @ IjZYxWfJf8"" shows a J♣, K♦.",2023-05-30T07:05:08.764Z,168543030876400
"-- ending hand #187 --",2023-05-30T07:05:06.891Z,168543030689102
"""Kalp @ IjZYxWfJf8"" collected 118.50 from pot",2023-05-30T07:05:06.891Z,168543030689101
"Uncalled bet of 46.00 returned to ""Kalp @ IjZYxWfJf8""",2023-05-30T07:05:06.891Z,168543030689100
"""Phil @ JZNV0izPqn"" folds",2023-05-30T07:05:06.023Z,168543030602300
"""Kalp @ IjZYxWfJf8"" raises to 85.00",2023-05-30T07:04:51.223Z,168543029122300
"""Sushi @ 3f91MMrAMb"" folds",2023-05-30T07:04:32.672Z,168543027267200
"""Phil @ JZNV0izPqn"" raises to 39.00",2023-05-30T07:04:31.301Z,168543027130100
"""Kalp @ IjZYxWfJf8"" calls 13.50",2023-05-30T07:04:26.363Z,168543026636300
"""Sushi @ 3f91MMrAMb"" bets 13.50",2023-05-30T07:04:20.702Z,168543026070200
"Flop:  [9♦, 5♠, 4♥]",2023-05-30T07:04:16.416Z,168543025641600
"""Sushi @ 3f91MMrAMb"" calls 9.00",2023-05-30T07:04:15.531Z,168543025553100
"""Gill iPad @ rBxx2OqQ80"" folds",2023-05-30T07:04:09.789Z,168543024978900
"""Phil @ JZNV0izPqn"" calls 9.00",2023-05-30T07:04:08.837Z,168543024883700
